cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,sc,scus,scust,scage,scmuni,SCDOMO,idscod,idsccmmb,scabs,scsfp,scodot,scford,IDSCEQ,sceq,SCEQFV,schtmres,idahta,scres,scpledge,scmtgbk,idscgtpc,scgty,scodpc,idsccmo,sccol,scodpi,idsccmt,sccmpt,sccmot,scha,scaf,scrdebt,scsnhaa,scsnhaf,trade,idtrrval,trlreval
"14134","10324","300009","2337081","PASSUMPSIC SAVINGS BANK","Saint Johnsbury","VT","5819","6/30/2022","8/22/2022","SB","497 Railroad St","PASSUMPSIC BCORP","12","0","1","5","0","Caledonia","","","2/24/1853","3/31/1934","4/1/2022","Stock","0","1","FDIC","DIF","New York","NEW YORK","Windsor","Boston","Northeastern","Northeast","0","1","http://www.passumpsicbank.com","131783","91259","15703","75556","7674","0","0","0","0","0","0","0","32850","","32850","0","","","75000","72584","69577","69577","0","3007","3007","0","0","0","0","0","98933","98932","0","0","0","0",""
"57497","0","729310","2596776","PATHFINDER BANK","Oswego","NY","13126","6/30/2022","8/22/2022","NM","214 W. 1st St.","PATHFINDER BCORP INC","11","0","0","4","0","Oswego","45060","Syracuse, NY","10/25/2002","10/25/2002","5/31/2016","Stock","0","0","FDIC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","http://www.PATHFINDERBANK.com","384483","91468","0","91468","59561","233454","69780","70494","31169","0","62011","0","0","","0","0","","","153724","198708","20342","20342","0","76610","6830","69780","101756","10989","90767","181532","202951","384485","0","0","0","0",""
"1992","53533","73554","3304361","PATHWAY BANK","Cairo","NE","68824","6/30/2022","8/22/2022","NM","306 High St.","PATHWAY BCORP","4","0","0","2","0","Hall","24260","Grand Island, NE","1/1/1910","1/1/1934","5/27/2010","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","www.pathwaybank.com","40241","26893","0","26893","5196","8152","0","0","0","0","8152","0","0","","0","0","","","29723","24389","23001","23001","0","457","457","0","931","931","0","7571","32670","40243","4500","4243","0","0",""
"57416","0","3120646","1135374","PATRIOT BANK","Millington","TN","38053","6/30/2022","8/22/2022","SM","8376 Us Hwy. 51 N","SECURITY BCORP OF TN INC","10","0","0","4","0","Shelby","32820","Memphis, TN-MS-AR","10/9/2002","10/9/2002","11/16/2021","Stock","0","0","FED","DIF","Dallas","DALLAS","Nashville","St. louis","Southern","Southeast","0","1","www.patriot-bank.com","187447","24112","13657","10455","163335","0","0","0","0","0","0","0","0","","0","0","","","154830","6544","6544","6544","0","0","0","0","0","0","0","0","187447","187447","0","0","0","0",""
"33928","0","2236821","2840479","PATRIOT BANK, NATIONAL ASSOCIATION","Stamford","CT","6905","6/30/2022","8/22/2022","N","999 Bedford St","PATRIOT NATIONAL BCORP INC","9","0","1","4","0","Fairfield","14860","Bridgeport-Stamford-Norwalk, CT","8/31/1994","8/31/1994","4/1/2022","Stock","0","0","OCC","DIF","New York","NEW YORK","Windsor","New York","Northeastern","Northeast","0","1","www.bankpatriot.com","81421","58907","0","58907","499","17565","0","0","0","0","17565","0","4450","","4450","0","","","30584","42774","29954","29954","0","12820","12820","0","0","0","0","0","76971","76973","0","0","0","0",""
"58133","0","3437166","","PATRIOT COMMUNITY BANK","Woburn","MA","1801","6/30/2022","8/22/2022","SM","237 Lexington St","","1","0","0","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","4/3/2006","4/3/2006","4/1/2022","Stock","0","1","FED","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","www.patriotcb.com","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"18019","53341","297051","1057896","PATRIOTS BANK","Garnett","KS","66032","6/30/2022","8/22/2022","NM","131 E. 4th Ave.","GARNETT BANCSHARES INC","6","0","1","4","1","Anderson","","","1/1/1899","6/4/1959","1/13/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","http://www.patriotsbank.com","23582","5249","5249","0","18333","0","0","0","0","0","0","0","0","","0","0","","","20856","0","0","0","0","0","0","0","0","0","0","0","23582","23582","0","0","0","0",""
"12609","12689","85931","3631469","PATTERSON STATE BANK","Patterson","LA","70392","6/30/2022","8/22/2022","NM","1130 Hwy. 90","PATTERSON BANCSHARES INC","3","0","0","8","0","Saint Mary","","","1/1/1925","1/1/1934","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","http://www.pattersonstatebank.com","115607","58277","0","58277","54963","2367","0","964","0","0","1403","0","0","","0","0","","","69034","31993","12104","12104","0","11456","11456","0","8433","2390","6043","25749","89858","115608","3000","2745","0","0",""
"24303","0","500658","5679326","PAVILLION BANK","Richardson","TX","75080","6/30/2022","8/22/2022","NM","1200 W Campbell Rd.","ODOM AMTEX HOLDINGS TRUST THE","1","0","0","4","0","Dallas","19100","Dallas-Fort Worth-Arlington, TX","1/17/1983","1/17/1983","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.pavillionbank.com","13729","12440","12440","0","1289","0","0","0","0","0","0","0","0","","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","13729","13729","0","0","0","0",""
"9313","9854","148715","1134283","PBK BANK, INC.","Stanford","KY","40484","6/30/2022","8/22/2022","NM","120 Frontier Blvd","COMMUNITY BANCSHARES INC","6","0","0","8","0","Lincoln","","","1/1/1906","1/1/1934","12/31/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","http://www.pbkbank.com","27050","27050","7812","19238","0","0","0","0","0","0","0","0","0","","0","0","","","11169","88","88","88","0","0","0","0","0","0","0","0","27050","27050","0","0","0","0",""
