cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
"12162","9733","998648","1099841","ELKTON BANK & TRUST COMPANY","Elkton","KY","42220","6/30/2022","8/22/2022","NM","30 Public Sq","ELKTON BCORP INC","4","0","0","7","0","Todd","","","1/1/1866","1/1/1934","8/29/2021","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Southeast","0","1","elktonbankandtrust.com","12579","11406","4703","14772","4275","235","7356","1562","5341","453","0"
"10185","0","13251","1128947","ELYSIAN BANK","Elysian","MN","56028","6/30/2022","8/22/2022","NM","121 E. Main St.","ELYSIAN INC","1","0","0","8","1","Le Sueur","33460","Minneapolis-St. Paul-Bloomington, MN-WI","9/24/1907","1/1/1934","4/1/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","www.elysianbank.net","4733","0","1172","2939","621","0","0","0","0","0","0"
"57228","0","3068579","3806511","EMBASSY BANK FOR THE LEHIGH VALLEY","Bethlehem","PA","18017","6/30/2022","8/22/2022","NM","100 Gateway Dr.","EMBASSY BCORP INC","10","0","0","5","0","Northampton","10900","Allentown-Bethlehem-Easton, PA-NJ","11/6/2001","11/6/2001","11/11/2008","Stock","0","0","FDIC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","www.embassybank.com","45598","42363","15897","47380","21232","3452","42627","7825","28528","6274","0"
"58413","0","3482045","3482054","EMBASSY NATIONAL BANK","Lawrenceville","GA","30043","6/30/2022","8/22/2022","N","1817 N. Brown Rd.","EMBASSY BANCSHARES INC","1","0","0","4","0","Gwinnett","12060","Atlanta-Sandy Springs-Roswell, GA","3/5/2007","3/5/2007","1/1/2013","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","www.embassynationalbank.com","5536","19558","6839","14592","3664","0","8465","1713","5756","996","0"
"14944","0","12656","","EMERALD BANK","Burden","KS","67019","6/30/2022","8/22/2022","SM","333 N Main St.","","2","0","0","8","0","Cowley","","","10/1/1884","12/21/1934","12/31/2008","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","http://www.mybankathome.com","1917","1630","753","1877","887","30","533","256","0","277","0"
"12054","7209","137915","3212091","EMIGRANT BANK","New York","NY","10017","6/30/2022","8/22/2022","SB","5 E. 42nd St.","NEW YORK PRIVATE B&T CORP","5","0","0","4","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","9/30/1850","1/1/1934","11/23/2013","Stock","0","1","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.emigrant.com","118105","105319","84232","64768","66465","7959","46803","17924","10505","17775","599"
"57834","0","3268173","3212091","EMIGRANT MERCANTILE BANK","New York","NY","10017","6/30/2022","8/22/2022","NM","6 E. 43rd St.","NEW YORK PRIVATE B&T CORP","1","0","0","7","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","7/9/2004","7/9/2004","3/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","","0","0","0","0","0","0","0","0","0","0","0"
"57672","0","3277241","3439610","EMPIRE STATE BANK","Staten Island","NY","10314","6/30/2022","8/22/2022","SM","1441 S. Ave","ES BANCSHARES INC","7","0","0","4","0","Richmond","35620","New York-Newark-Jersey City, NY-NJ-PA","6/28/2004","6/28/2004","6/27/2022","Stock","0","0","FED","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","http://www.esbna.com","31870","42010","10456","16772","33820","12832","19218","6625","7332","5261","0"
"4789","14120","65858","1135824","EMPRISE BANK","Wichita","KS","67202","6/30/2022","8/22/2022","NM","257 N. Broadway St.","EMPRISE FINANCIAL CORP","33","0","0","4","1","Sedgwick","48620","Wichita, KS","5/21/1910","1/1/1934","3/26/2011","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","www.emprisebank.com","92417","51204","38241","66839","29666","8875","32663","7254","14601","6523","4285"
"34562","0","2594240","2777016","ENCORE BANK","Little Rock","AR","72223","6/30/2022","8/22/2022","SM","1801 Rahling Rd.","ENCORE BANCSHARES INC","11","0","1","4","0","Pulaski","30780","Little Rock-North Little Rock-Conway, AR","9/8/1997","9/8/1997","2/1/2021","Stock","0","0","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","http://www.bankencore.com","406522","18879","87970","240015","64712","32705","49539","35636","11215","2688","0"
"59099","0","5192496","5718627","ENDEAVOR BANK","San Diego","CA","92101","6/30/2022","8/22/2022","NM","750 B St. Suite 3110","ENDEAVOR BCORP","3","0","0","4","0","San Diego","41740","San Diego-Carlsbad, CA","1/22/2018","1/22/2018","8/10/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","www.bankendeavor.com","150","421","0","570","0","0","1847","0","1847","0","0"
"27205","0","1186965","1081239","ENGLEWOOD BANK & TRUST","Englewood","FL","34223","6/30/2022","8/22/2022","NM","1111 S. Mccall Rd.","CREWS BANKING CORP","5","0","0","7","1","Charlotte","39460","Punta Gorda, FL","4/4/1988","4/4/1988","6/30/2022","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","0","www.englewoodbankandtrust.com","2912","1313","835","2289","806","295","1072","0","647","425","0"
"13000","0","435059","1131956","ENNIS STATE BANK","Ennis","TX","75119","6/30/2022","8/22/2022","NM","815 W. Ennis Ave.","ENNIS BANCSHARES INC","4","0","0","4","1","Ellis","19100","Dallas-Fort Worth-Arlington, TX","1/1/1933","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.ennisstatebank.com","9786","9706","5225","10454","3813","0","6770","1095","4690","985","0"
"33380","0","1836701","3306356","ENTERPRISE BANK","Omaha","NE","68144","6/30/2022","8/22/2022","SM","12800 W. Ctr. Rd.","ENTERPRISE HOLDING CO","3","0","0","4","0","Douglas","36540","Omaha-Council Bluffs, NE-IA","4/10/1991","4/10/1991","12/16/2013","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","Western","0","1","https://www.ENTERPRISE.BANK","49608","86587","21024","40318","51390","23463","20006","6510","12450","592","454"
"34786","0","2730431","2730048","ENTERPRISE BANK","Allison Park","PA","15101","6/30/2022","8/22/2022","NM","4091 Mount Royal Boulvard","SEED MONEY LTD PARTNERSHIP","1","0","0","4","0","Allegheny","38300","Pittsburgh, PA","10/23/1998","10/23/1998","11/27/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","1","http://www.enterprisebankpgh.com","87100","9059","11446","18798","34902","31013","4713","0","720","1490","2503"
"27237","12507","1190476","2303910","ENTERPRISE BANK & TRUST","Clayton","MO","63105","6/30/2022","8/22/2022","NM","150 N. Meramec","ENTERPRISE FINL SERVICES CORP","46","0","1","4","0","Saint Louis City","41180","St. Louis, MO-IL","5/9/1988","5/9/1988","9/30/2021","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","0","http://www.enterprisebank.com","273790","149492","84671","152486","156553","29572","161919","56433","71830","18707","14949"
"27408","11801","1356768","2461016","ENTERPRISE BANK AND TRUST COMPANY","Lowell","MA","1852","6/30/2022","8/22/2022","NM","222 Merrimack St","ENTERPRISE BCORP INC","27","0","1","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","1/3/1989","1/3/1989","4/1/2022","Stock","0","1","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","www.enterprisebanking.com","76851","67233","38464","78713","25345","1563","74431","10496","27238","36435","262"
"11539","0","457426","","ENTERPRISE BANK OF SOUTH CAROLINA","Ehrhardt","SC","29081","6/30/2022","8/22/2022","NM","13497 Broxton Bridge Rd.","","12","0","0","4","0","Bamberg","","","1/1/1920","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","https://ebsc.bank","33894","23986","14102","30795","11534","1450","9332","2816","4702","1814","0"
"59287","0","5660146","5613236","ENTREBANK","Bloomington","MN","55425","6/30/2022","8/22/2022","NM","1550 American Blvd E","ENTREPRENEURS BANCSHARES INC","1","0","0","4","1","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","3/21/2022","3/21/2022","3/21/2022","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.entrebank.com","0","0","0","0","0","0","0","0","0","0","0"
"90270","13264","332402","3122846","ENVISION BANK","Randolph","MA","2368","6/30/2022","8/22/2022","SB","129 N Main St","RANDOLPH BCORP INC","6","0","0","5","0","Norfolk","14460","Boston-Cambridge-Newton, MA-NH","1/1/1851","1/2/1986","4/1/2022","Stock","0","0","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.envisionbank.com","36307","94241","19936","68110","40757","1744","21352","5465","10695","1646","3546"
