cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"1705","0","714437","1134751","MOUNTAIN VALLEY BANK","Dunlap","TN","37327","6/30/2022","8/22/2022","NM","17114 Rankin Ave","SEQUATCHIE COUNTY BCORP INC","6","0","0","4","0","Sequatchie","16860","Chattanooga, TN-GA","1/1/1905","1/1/1934","11/16/2021","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","www.mtnvalleybankonline.com","54","153850","15352","13553","30643","0","100327","853","0","3699","159","0","3670","153850","139583","139399","111319","139399","79.2535793188535","0","0","0","0","184","14267","14267","0","400","5800","8067","0","1392","0","415","144523","42520","142914.666666667","144811","92764","147596","1828","1259","0","569","9530","504","0","0","11340","15716","853","11340","0"
"17411","0","475653","2511014","MOUNTAIN VALLEY BANK","Walden","CO","80480","6/30/2022","8/22/2022","SM","461 Main St","PLATTE VALLEY FINL SERVICE COMPANIES","7","0","0","4","0","Jackson","","","2/21/1955","2/21/1955","12/8/2021","Stock","0","0","FED","DIF","Dallas","KANSAS CITY","Denver","Kansas City","Western","Western","0","1","http://www.bankmvb.com","36","478597","35648","27974","146330","0","266489","3541","0","18432","0","3138","8560","478597","433050","430767","329907","430767","70.5803307223673","0","0","0","0","2283","45547","45547","0","921","35500","9126","0","954","639","1755","440793","114468","492175.666666667","487637","0","481450","1829","0","0","1829","30429","2336","0","311","64576","46552","0","64576","0"
"6786","11246","1011432","1404641","MOUNTAIN VALLEY BANK, N.A.","Elkins","WV","26241","6/30/2022","8/22/2022","N","317 Davis Ave.","MOUNTAIN-VALLEY BANCSHARES INC","4","0","0","4","0","Randolph","","","1/1/1909","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","www.mountainvalleybank.com","42","186247","14214","11347","65851","0","101167","1314","0","1441","0","0","3574","186247","168746","165718","109964","165718","84.2486333852225","1082","0","0","0","1946","17501","17501","0","600","609","16292","0","311","0","445","178365","84110","186238.333333333","186550","0","190593","0","0","0","0","2006","1327","0","0","15007","22507","0","15007","0"
"58772","0","3636259","4181130","MOUNTAIN VIEW BANK OF COMMERCE","Westminster","CO","80234","6/30/2022","8/22/2022","NM","12001 Pecos St.","NBC BANCSHARES LLC","1","0","0","4","0","Adams","19740","Denver-Aurora-Lakewood, CO","2/8/2008","2/8/2008","11/13/2018","Stock","0","0","FDIC","DIF","Dallas","KANSAS CITY","Denver","Kansas City","Western","Western","0","1","mvbofc.com","27","168889","19259","17678","2460","0","145220","2256","0","430","0","0","1520","168889","150946","143307","94328","143307","54.9413209416558","0","0","7090","0","549","17943","17943","0","6370","6300","5273","0","2094","0","320","165358","19830","167557","168738.5","148689","169217","0","0","0","0","16647","1580","7090","512","29786","18144","1863","29786","3745"
"90253","12401","97804","2634212","MOUNTAINONE BANK","North Adams","MA","1247","6/30/2022","8/22/2022","SB","93 Main St","MOUNTAINONE FINANCIAL MHC","6","0","0","4","0","Berkshire","38340","Pittsfield, MA","1/1/1848","7/19/1985","4/1/2022","Stock","0","1","FDIC","DIF","New York","NEW YORK","Windsor","Boston","Northeastern","Northeast","0","1","www.mountainone.com","180","900703","41826","35364","143542","0","635789","13821","0","14966","70","10223","54287","900703","773545","751756","573554","751756","57.7843490005117","0","0","6300","0","15489","127158","127158","0","550","7754","118854","0","1987","0","2770","814695","354353","887432","888769","788729","884708","28296","28296","0","0","76167","15545","6300","543","272201","124154","9911","272201","59461"
"9502","14489","722227","","MOVEMENT BANK","Danville","VA","24541","6/30/2022","8/22/2022","NM","201 N Union St.","","3","0","1","4","0","Danville City","","","9/8/1919","1/1/1934","7/25/2017","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","www.movementbank.com","46","140156","30424","29208","14522","0","90431","933","0","1642","0","0","3137","140156","121664","120589","51143","120589","34.2957834072723","0","0","478","0","597","18492","18492","0","16159","7960","-5627","0","551","0","316","134161","41812","131867.333333333","139495","97548","137775","0","0","0","0","4220","0","0","0","16146","18928","933","16146","0"
"58619","0","3482111","3482102","MRV BANKS","Sainte Genevieve","MO","63670","6/30/2022","8/22/2022","NM","871 Ste Genevieve Dr","MRV FINANCIAL CORP","5","0","0","4","0","Sainte Genevieve","","","7/16/2007","7/16/2007","6/28/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","http://www.mrvbanks.com","62","644478","32471","26640","10703","0","576625","7703","0","7832","0","0","16847","644478","584514","522236","363218","522236","60.6264560230781","0","0","59000","0","3278","59964","59964","0","4125","18125","37714","0","0","0","3056","613968","47373","635601.333333333","637637","0","631938","5671","5671","0","0","64619","2251","59000","0","108057","60528","0","108057","350"
"19525","7136","542667","","MT. MCKINLEY BANK","Fairbanks","AK","99701","6/30/2022","8/22/2022","SB","500 4th Ave","","5","0","0","4","0","Fairbanks North St","21820","Fairbanks, AK","12/3/1965","12/3/1965","5/31/2018","Non-Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","Western","0","1","www.mtmckinleybank.com","83","635244","28459","23989","331607","0","225876","4180","0","24196","0","0","25106","635244","551609","548045","411545","548045","70.6564453217644","0","0","0","0","3564","83635","83635","0","0","12149","71486","0","1771","0","2029","581472","318523","638479","635460","0","628713","11703","11703","0","0","25702","0","0","1995","50903","106075","0","50903","0"
"15523","0","765662","","MUENSTER STATE BANK","Muenster","TX","76252","6/30/2022","8/22/2022","NM","201 N. Main St.","","2","0","0","7","1","Cooke","","","7/3/1923","7/31/1937","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://www.msbtx.com","16","206059","8937","6961","135528","0","54585","729","0","1955","0","0","5054","206059","186457","186437","126206","186437","76.5917733570046","0","0","0","0","20","19602","19602","0","1000","5000","13602","0","0","0","1048","197074","131630","206187.333333333","205967","0","213881","2937","2109","0","828","3218","1421","0","0","6772","28983","0","6772","0"
"22826","0","212465","2961897","MUFG UNION BANK, NATIONAL ASSOCIATION","San Francisco","CA","94104","6/30/2022","8/22/2022","N","350 California St, 1st Fl.","MITSUBISHI UFJ FINL GROUP INC","300","0","1","4","0","San Francisco","41860","San Francisco-Oakland-Hayward, CA","3/9/1979","3/9/1979","2/21/2020","Stock","0","1","OCC","DIF","San Francisco","WASHINGTON","San Francisco","San Francisco","Western","Western","0","0","www.unionbank.com","12130","124662227","10670995","9221707","25880900","0","78948295","723496","345239","1046329","0","1490672","6279797","124662227","109050905","92377494","49232564","92377494","44.1023371218872","0","816312","13947429","0","1909670","15611322","15525345","0","604577","9837404","5083364","85977","417219","25181","393209","114163351","47990208","126084678","125197579","91545470","125147857","255687","64850","190837","0","10546766","4526","8793595","930171","40097285","15850701","654935","40097285","138928879"
