cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,NETINBM,NETIMIN,netinc,ntlnls,eqcdiv,eqcstkrx,noij
"3182","0","594451","5136810","MAPLEMARK BANK","Dallas","TX","75219","6/30/2022","8/22/2022","NM","4143 Maple Ave Ste 100","MAPLE FINANCIAL HOLDINGS INC","2","0","1","4","0","Dallas","19100","Dallas-Fort Worth-Arlington, TX","1/1/1909","1/1/1934","7/15/2019","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","MapleMarkBank.com","16470","1572","14898","516","1478","0","146","","1332","11548","6741","1065","3742","4312","0","956","3356","0","3356","0","3356","1","0","0","3356"
"17903","9612","683449","1200311","MAQUOKETA STATE BANK","Maquoketa","IA","52060","6/30/2022","8/22/2022","SM","203 N. Main St.","OHNWARD BANCSHARES INC","4","0","0","2","0","Jackson","","","9/2/1958","9/2/1958","1/1/2012","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","WWW.MAQUOKETASB.BANK","5570","658","4912","89","1799","761","127","","911","4001","2233","274","1494","2621","-32","454","2135","0","2135","0","2135","-6","1120","0","2161.24"
"29745","4000","596978","5557509","MARATHON BANK","Wausau","WI","54403","6/30/2022","8/22/2022","SB","500 Scott St","MARATHON MHC","4","0","0","4","0","Marathon","48140","Wausau, WI","1/1/1902","3/12/1958","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","WWW.MARATHONBANK.COM","3552","498","3054","0","578","0","46","","532","2770","1595","391","784","862","0","216","646","0","646","0","646","-12","0","0","646"
"90234","8425","816304","","MARBLEHEAD BANK","Marblehead","MA","1945","6/30/2022","8/22/2022","SM","21 Atlantic Ave","","4","0","0","8","0","Essex","14460","Boston-Cambridge-Newton, MA-NH","3/18/1871","9/17/1985","4/1/2022","Non-Stock","0","0","FED","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","www.marblebank.com","3707","120","3587","1","470","0","150","","320","4030","2494","460","1076","26","0","-10","36","0","36","0","36","2","0","0","36"
"20250","0","258445","1823608","MARINE BANK","Springfield","IL","62704","6/30/2022","8/22/2022","NM","3050 Wabash Ave","MARINE BCORP INC","12","0","0","4","1","Sangamon","44100","Springfield, IL","9/4/1970","9/4/1970","8/29/2021","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","www.ibankmarine.com","10236","607","9629","0","3834","592","510","","2732","10834","7321","878","2635","2629","0","45","2584","0","2584","0","2584","10","1037","0","2584"
"34233","0","2587916","5076215","MARINE BANK & TRUST COMPANY","Vero Beach","FL","32963","6/30/2022","8/22/2022","NM","571 Beachland Blvd.","MARINE BCORP OF FLORIDA INC","5","0","0","4","0","Indian River","42680","Sebastian-Vero Beach, FL","7/1/1997","7/1/1997","6/30/2022","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","www.marinebankandtrust.com","9005","134","8871","300","1219","0","174","","1045","6627","4122","555","1950","3163","0","603","2560","0","2560","0","2560","0","0","102","2560"
"7909","11479","947525","1138928","MARION CENTER BANK","Indiana","PA","15701","6/30/2022","8/22/2022","NM","1271 Indian Springs Rd.","COMMUNITY BANKERS CORP","7","0","0","4","0","Indiana","","","7/6/1905","1/1/1934","6/24/2011","Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","1","http://www.marioncenterbank.com","6790","843","5947","0","578","0","436","","142","5078","2939","377","1762","1447","10","230","1227","0","1227","0","1227","203","411","0","1218.6"
"14184","0","449832","1248023","MARION COMMUNITY BANK","Marion","AL","36756","6/30/2022","8/22/2022","NM","601 Washington St","MARION BANCSHARES INC","6","0","0","4","1","Perry","","","3/17/1934","4/2/1934","6/30/2022","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","https://www.marion-bank.com","5013","1020","3993","0","596","0","240","0","356","4132","2110","409","1613","457","0","23","434","0","434","0","434","-71","0","0","434"
"15272","16045","97943","1200245","MARION COUNTY STATE BANK","Pella","IA","50219","6/30/2022","8/22/2022","NM","800 Main St.","PELLA FINANCIAL GROUP INC","5","0","0","2","1","Marion","","","9/21/1935","9/21/1935","11/8/2019","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","www.marioncountybank.com","9890","597","9293","240","1803","2","188","","1613","5764","3828","324","1612","5092","1","255","4838","0","4838","0","4838","138","2840","0","4837.05"
"15355","0","484057","3828250","MARION STATE BANK","Marion","TX","78124","6/30/2022","8/22/2022","NM","301 W. San Antonio St.","MARION BANCSHARES INC","1","0","0","7","1","Guadalupe","41700","San Antonio-New Braunfels, TX","1/1/1906","2/11/1936","6/17/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","http://www.marionstatebanktx.com","2092","253","1839","0","282","0","88","","194","1384","812","81","491","737","0","0","737","0","737","0","737","141","699","0","737"
