cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,Lnrenr4,Lnrenr1,Lnrenr2,Lnrenr3,Lnci4,Lnci1,Lnci2,Lnci3,Lnreag4,Lnreag1,Lnreag2,Lnreag3,Lnag4,Lnag1,Lnag2,Lnag3,Lnrenr4N,Lnrenr1N,Lnrenr2N,Lnrenr3N,Lnci4N,Lnci1N,Lnci2N,Lnci3N,Lnreag4N,Lnreag1N,Lnreag2N,Lnreag3N,Lnag4N,Lnag1N,Lnag2N,Lnag3N
"33216","9189","1718188","3025385","NORTHRIM BANK","Anchorage","AK","99503","6/30/2022","8/22/2022","NM","3111 C St.","NORTHRIM BCORP INC","17","0","0","4","0","Anchorage","11260","Anchorage, AK","12/4/1990","12/4/1990","3/19/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","Western","0","1","https://www.northrim.com","177113","1944","20087","155082","93105","7941","19118","66046","756","0","0","756","10021","592","3706","5723","531","43","140","348","518","222","146","150","2","0","0","2","63","15","29","19"
"34416","15785","2533119","2533100","NORTHSIDE COMMUNITY BANK","Gurnee","IL","60031","6/30/2022","8/22/2022","SM","5101 Washington St","ALIKAT INVESTMENTS INC","4","0","0","4","0","Lake","16980","Chicago-Naperville-Elgin, IL-IN-WI","7/7/1997","7/7/1997","8/29/2021","Stock","0","1","FED","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","WWW.NSCOMBANK.COM","22504","482","2980","19042","3125","302","961","1862","0","0","0","0","0","0","0","0","79","10","22","47","43","14","15","14","0","0","0","0","0","0","0","0"
"34407","15762","2562137","1205026","NORTHSTAR BANK","Estherville","IA","51334","6/30/2022","8/22/2022","NM","2202 Central Ave.","VAN DIEST INVESTMENT CO","5","0","0","2","0","Emmet","","","4/1/1997","4/1/1997","12/10/2012","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","http://WWW.NORTHSTARBANKIOWA.COM","4381","1176","1041","2164","2656","1068","1004","584","14771","708","4378","9685","16806","5674","5415","5717","50","32","11","7","64","51","11","2","94","17","41","36","258","184","47","27"
"57097","0","2958972","2958990","NORTHSTAR BANK","Bad Axe","MI","48413","6/30/2022","8/22/2022","SM","833 S Van Dyke Rd","NORTHSTAR FINANCIAL GROUP INC","11","0","0","4","0","Huron","","","2/1/2001","2/1/2001","8/29/2021","Stock","0","0","FED","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.northstarathome.com","78589","3657","12290","62642","29521","6759","6602","16160","28784","4222","11005","13557","12142","4085","3317","4740","362","102","96","164","403","254","78","71","279","117","104","58","202","155","27","20"
"10956","10191","16551","1126037","NORTHVIEW BANK","Sandstone","MN","55072","6/30/2022","8/22/2022","NM","510 Main St.","FINLAYSON BANCSHARES INC","13","0","0","4","1","Pine","","","1/1/1908","1/1/1934","6/6/2015","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.northviewbank.com","28942","2296","6699","19947","13288","4837","3710","4741","2248","1263","985","0","1803","847","615","341","140","48","50","42","218","185","23","10","36","30","6","0","48","43","4","1"
"14240","9534","30502","2582827","NORTHWAY BANK","Berlin","NH","3570","6/30/2022","8/22/2022","NM","9 Main St","NORTHWAY FINANCIAL INC","18","0","0","4","0","Coos","","","1/1/1934","4/16/1934","4/1/2022","Stock","0","0","FDIC","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","0","1","http://www.northwaybank.com","45858","762","8484","36612","9422","2411","2777","4234","0","0","0","0","0","0","0","0","173","14","60","99","221","166","38","17","0","0","0","0","0","0","0","0"
"28178","1067","1002878","4122722","NORTHWEST BANK","Warren","PA","16365","6/30/2022","8/22/2022","SB","Second@liberty","NORTHWEST BANCSHARES INC","154","0","1","4","0","Warren","","","1/1/1896","1/26/1939","4/24/2020","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","0","WWW.NORTHWEST.COM","541226","28502","115010","397714","372869","146017","102615","124237","61289","6188","20060","35041","8594","5313","2630","651","2858","803","967","1088","5897","4575","899","423","446","157","159","130","266","240","22","4"
"32647","8567","1387605","1978713","NORTHWEST BANK","Spencer","IA","51301","6/30/2022","8/22/2022","NM","705 N. Grand Ave.","NORTHWEST FINANCIAL CORP","19","0","1","4","0","Clay","","","12/30/1988","12/30/1988","8/10/2020","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","0","1","www.nw.bank","141127","5216","20893","115018","159106","24031","34217","100858","32730","1809","10008","20913","66894","17131","19482","30281","531","114","160","257","1495","851","336","308","193","39","80","74","683","374","177","132"
"58752","0","3678857","3683619","NORTHWEST BANK","Boise","ID","83702","6/30/2022","8/22/2022","NM","1750 W Front St","GWY LLC","5","0","1","4","0","Ada","14260","Boise City, ID","3/31/2008","3/31/2008","8/14/2019","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","Western","0","1","http://www.northwest-bank.com","36258","605","1893","33760","60384","3375","13043","43966","207","0","207","0","0","0","0","0","101","25","13","63","444","130","140","174","1","0","1","0","0","0","0","0"
"15830","14840","901741","1020667","NORTHWEST BANK & TRUST COMPANY","Davenport","IA","52806","6/30/2022","8/22/2022","NM","100 E. Kimberly Rd.","NORTHWEST INVESTMENT CORP","3","0","0","4","1","Scott","19340","Davenport-Moline-Rock Island, IA-IL","7/7/1941","7/7/1941","9/30/2012","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.northwestbank.com","6549","94","1003","5452","7062","265","403","6394","0","0","0","0","0","0","0","0","38","5","10","23","72","36","9","27","0","0","0","0","0","0","0","0"
