cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,nclnlsr,ncrer,ncreconr,ncrenrer,ncremulr,ncreresr,ncrelocr,ncrereor,idnccir,idncconr,idnccrdr,idnccoor,idncator,idnccotr,nccomrer,idncgtpr
"15759","0","809856","4864590","THE BANK OF BURLINGTON","Burlington","CO","80807","3/31/2022","8/22/2022","SM","410 14th St.","BURLINGTON HOLDINGS INC","2","0","0","2","1","Kit Carson","","","1/1/1931","7/22/1940","1/17/2018","Stock","0","0","FED","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","https://www.thebankofburlington.com","0","0","0","0","0","0","","0","0","0","","0","0","0","",""
"90175","8486","853804","3223855","THE BANK OF CANTON","Canton","MA","2021","3/31/2022","8/22/2022","SB","490 Turnpike St","PONKAPOAG BCORP MHC","6","0","0","4","0","Norfolk","14460","Boston-Cambridge-Newton, MA-NH","3/4/1835","10/11/1985","5/1/2021","Stock","0","1","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.thebankofcanton.com","0.552586359646773","0.573731565504229","0","1.2448464556108","0","0.114269304632394","0.498141851822567","8.28468239893335E-02","0","0","0","0","0","0","","0"
"10828","12523","141341","1096774","THE BANK OF CARBONDALE","Carbondale","IL","62901","3/31/2022","8/22/2022","NM","216 E Main St","CARBONDALE INVESTMENT CORP THE","5","0","0","4","0","Jackson","16060","Carbondale-Marion, IL","4/4/1919","1/1/1934","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","tboc.com","1.4069448156878","1.67509010932272","0","1.12879557512135","5.55041056985862","0.843190069094742","0","0.882298878745175","0.314782170737849","0","","0","0","0","","0"
"14491","14157","667524","2835680","THE BANK OF CHARLOTTE COUNTY","Phenix","VA","23959","3/31/2022","8/22/2022","SM","101 Berkley St.","BCC BANKSHARES INC","4","0","0","8","0","Charlotte","","","11/12/1912","6/20/1934","10/19/2017","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","www.bankofcharlotte.com","0.51686140068565","0.345424852773791","0","0.290536210211493","0","0.519302914379701","0","0.547587497076935","3.04747512907694","0","0","0","0","0","","0"
"15671","13654","3720","","THE BANK OF CLARENDON","Manning","SC","29102","3/31/2022","8/22/2022","NM","106 S. Brooks St.","","5","0","0","4","0","Clarendon","44940","Sumter, SC","7/1/1939","7/1/1939","3/31/2006","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","www.bankofclarendon.bank","5.79607286491602E-02","6.66928497854713E-02","0.137285491419657","6.27796915746434E-02","0","7.61374675103048E-02","0","0.079582875960483","2.21955875172016E-02","3.80083618396047E-02","","3.80083618396047E-02","0","6.23441396508728E-02","","0"
"57022","0","2948423","3324387","THE BANK OF CLOVIS","Clovis","NM","88101","3/31/2022","8/22/2022","NM","300 Main St.","CLOVIS BANCSHARES INC","2","0","0","8","0","Curry","","","10/16/2000","10/16/2000","10/9/2017","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Albuquerque","Dallas","Western","West","0","1","www.bankofclovis.com","0.124294611463021","0","0","0","0","0","0","0","0.649960029196065","0","","0","0","0","0","0"
"18059","15746","324863","","THE BANK OF COMMERCE","Ammon","ID","83406","3/31/2022","8/22/2022","NM","3113 S. 25th E.","","16","0","1","2","0","Bonneville","26820","Idaho Falls, ID","8/1/1959","8/1/1959","2/23/2018","Stock","0","1","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","Western","0","1","http://www.bofc.bank","0.108320506324273","0.125951017751358","0","0.198880851996545","0","0.401652325828204","0.705760632598012","0.160893985490288","0.108270676691729","0.418788907753254","","0.418788907753254","0.354153251770766","0.453831384185722","0","6.88437775816417"
"1374","13288","103134","3135471","THE BANK OF COMMERCE","White Castle","LA","70788","3/31/2022","8/22/2022","NM","32460 Bowie St","COMMERCE BANCSHARES INC","1","0","0","8","1","Iberville","12940","Baton Rouge, LA","3/1/1927","1/1/1934","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","http://WWW.BKOFCOMMERCE.COM","0.290028404843773","0.370805824364656","0","0","0","1.13244027068085","0","1.18926758520667","0","1.35256988277728","","1.35256988277728","4.0650406504065","1.01419878296146","","0"
"8810","0","885225","1249918","THE BANK OF DELMARVA","Seaford","DE","19973","3/31/2022","8/22/2022","SM","910 Norman Eskridge Hwy","PARTNERS BCORP","17","0","1","4","0","Sussex","41540","Salisbury, MD-DE","12/14/1896","1/1/1934","12/1/2020","Stock","0","1","FED","DIF","New York","ATLANTA","Claymont","Philadelphia","Northeastern","Northeast","0","1","bankofdelmarva.com","0.828756559193023","0.848295523474463","0.862889959885718","0.263113181145804","16.088310532755","0.681641132173461","0","0.772643987725998","0.634418507639094","0","","0","0","0","","0"
"17244","0","651756","2209058","THE BANK OF DENVER","Denver","CO","80218","3/31/2022","8/22/2022","NM","810 E. 17th Ave.","DENVER BANKSHARES INC","4","0","0","4","0","Denver","19740","Denver-Aurora-Lakewood, CO","10/1/1941","7/15/1953","6/16/2020","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","http://www.thebankofdenver.com","3.06267890167623E-02","0","0","0","0","0","0","0","0","1.56673696896656","","1.56673696896656","0.981719702098849","6.3013698630137","","0"
"33646","0","1751420","","THE BANK OF EAST ASIA LTD.","New York","NY","10022","3/31/2022","8/22/2022","OI","540 Madison Ave.","","1","0","0","4","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1918","3/27/1989","5/28/2013","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","0","","0","","","","","","","","","","","","","","",""
"5686","0","610539","1086140","THE BANK OF EDISON","Edison","GA","39846","3/31/2022","8/22/2022","NM","476 Turner St.","BOE BANCSHARES INC","1","0","0","2","1","Calhoun","","","10/1/1904","1/1/1934","6/2/2010","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.boedison.com","0.320224516964703","0.317658050451573","0.447570332480818","1.47169811320755","","7.53125470703419E-02","","7.53125470703419E-02","0.11883541295306","1.10125420617926","","1.10125420617926","1.71950564212789","0.284090909090909","","0"
"1607","0","10250","3027268","THE BANK OF ELK RIVER","Elk River","MN","55330","3/31/2022","8/22/2022","NM","630 Main St.","METRO NORTH BANCSHARES INC","4","0","0","4","1","Sherburne","33460","Minneapolis-St. Paul-Bloomington, MN-WI","1/1/1885","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.thebankofelkriver.com","0.387839478076164","0.373609538087025","0","0.621216948072635","0","0.165512822794497","0","0.215592183044718","0.461732804808991","6.84111510176159E-02","4.20168067226891","2.59179265658747E-02","0","7.04225352112676E-02","","34.5558272208639"
