cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,scrdebt,scpt3les,scpt3t12,scpt1t3,scpt3t5,scpt5t15,scptov15,sco3yles,scoov3y,scnm3les,scnm3t12,scnm1t3,scnm3t5,scnm5t15,scnmov15,sc1les
"30150","4846","864378","","CITIZENS FEDERAL SAVINGS BANK","Leavenworth","KS","66048","3/31/2022","8/22/2022","SA","5151 S 4th St. Trafficway","","3","0","0","5","0","Leavenworth","28140","Kansas City, MO-KS","1/1/1884","2/20/1950","1/22/2020","Non-Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","www.citizensfsb.bank","56138","383","0","71","0","3722","2597","8375","5242","8993","0","0","0","20109","6646","2084"
"13032","0","716954","1207561","CITIZENS FIRST BANK","Viroqua","WI","54665","3/31/2022","8/22/2022","NM","101 S Main St","FIRSNABANCO INC","5","0","0","4","1","Vernon","","","1/1/1912","1/1/1934","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","http://www.citizensfirstbank.net","75883","0","0","0","1884","13058","737","15474","13955","2208","0","860","2240","25467","0","125"
"35477","0","2882983","3070013","CITIZENS FIRST BANK","Clinton","IA","52732","3/31/2022","8/22/2022","NM","1442 Lincoln Way","CFB HOLDING CO","3","0","0","2","1","Clinton","","","3/14/2000","3/14/2000","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.gocfb.bank","68987","0","0","0","0","5590","13185","0","9185","23","1075","2884","6267","25857","4921","147"
"33440","0","1867983","2012315","CITIZENS FIRST BANK","The Villages","FL","32162","3/31/2022","8/22/2022","NM","1050 Lake Sumter Landing","VILLAGES BCORP INC","15","0","0","9","0","Sumter","45540","The Villages, FL","7/1/1991","7/1/1991","9/1/2020","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","0","http://www.citizensfb.com","2610667","219","144","35","75","1909","12768","42580","611468","296966","40752","154640","116303","1219083","113725","83440"
"939","9735","476342","1131385","CITIZENS FIRST STATE BANK OF WALNUT","Walnut","IL","61376","3/31/2022","8/22/2022","SM","105 N Main St","CITIZENS BANCSHARES INC","1","0","0","8","1","Bureau","","","1/1/1920","1/1/1934","8/29/2021","Stock","0","1","FED","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","www.citizensfirststatebank.com","13591","1","0","29","226","823","250","611","546","501","1175","4506","1785","3138","0","1686"
"20872","9108","764816","1143294","CITIZENS GUARANTY BANK","Richmond","KY","40475","3/31/2022","8/22/2022","NM","457 E Main St","CITIZENS GUARANTY FINL CORP","7","0","0","4","1","Madison","","","11/29/1972","11/29/1972","12/31/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","www.mycgb.com","13498","0","0","0","0","4486","852","0","0","0","737","1572","4727","1124","0","737"
"16863","10604","825753","1129029","CITIZENS INDEPENDENT BANK","Saint Louis Park","MN","55416","3/31/2022","8/22/2022","NM","5000 W. 36th St.","BAKKEN SECURITIES INC","4","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","1/16/1950","1/16/1950","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.bankcib.com","113708","258","114","98","1051","11682","74027","478","13641","904","2941","220","0","8294","0","2942"
"20954","10476","717737","1086270","CITIZENS NATIONAL BANK","Sevierville","TN","37862","3/31/2022","8/22/2022","N","200 Forks Of The River Pkwy.","CNB BANCSHARES INC","24","0","0","4","1","Sevier","","","2/5/1973","2/5/1973","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","www.cnbtn.com","319201","3","13","0","0","24898","109349","5065","48623","0","0","49212","2171","44166","35701","2"
"24085","11696","700252","1131460","CITIZENS NATIONAL BANK","Crockett","TX","75835","3/31/2022","8/22/2022","N","1320 Loop 304 E.","CITIZENS BCORP INC","1","0","0","7","1","Houston","","","9/7/1982","9/7/1982","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","http://www.cnbcrockett.com","29098","0","0","0","0","0","0","0","0","0","2875","7988","8409","8970","856","0"
"3127","0","59352","3137729","CITIZENS NATIONAL BANK","Cameron","TX","76520","3/31/2022","8/22/2022","N","118 S. Houston St.","CENTRAL TEXAS FINANCIAL CORP","11","0","0","4","0","Milam","","","7/1/1900","1/1/1934","2/13/2016","Stock","0","1","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.cnbanktexas.com","182581","0","0","809","241","7583","0","5449","0","8205","30734","68493","44971","16096","0","38939"
