cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"33648","0","727709","","BANK OF INDIA","New York","NY","10017","3/31/2022","8/22/2022","OI","277 Park Ave","","1","0","0","9","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","9/7/1906","12/2/1980","3/23/2020","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","0","","2878269","2878269","2837020","0","0","0","28190","13039","0","53307","","2824962","","","","","","","","2767996","","","","","",""
"23826","0","898458","1895397","BANK OF JACKSON HOLE","Jackson","WY","83002","3/31/2022","8/22/2022","SM","990 W. Broadway","BANCSHARES OF JACKSON HOLE INC","12","0","1","4","0","Teton","","","6/1/1982","6/1/1982","3/16/2018","Stock","0","1","FED","DIF","San Francisco","DALLAS","Billings","Kansas City","Western","West","0","1","www.bojh.com","1574078","1574078","1426917","0","144395","2766","0","0","","859759","745363","714319","523772","104023","86523","828715","559866","1014212","1526644","648853","0","0","0","0","",""
"8118","15597","567240","1399804","BANK OF JAMESTOWN","Jamestown","KY","42629","3/31/2022","8/22/2022","NM","400 Monument Sq","JAMESTOWN BCORP INC","3","0","0","4","0","Russell","","","7/17/1899","1/1/1934","12/31/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Louisville","St. louis","Central","Southeast","0","1","www.bankofjamestown.com","181469","181469","146584","3016","17571","14299","0","0","","72772","37407","108698","6309","29880","72509","144063","37100","144369","175432","161023","0","0","0","0","",""
"11750","0","487142","3210369","BANK OF KAMPSVILLE","Kampsville","IL","62053","3/31/2022","8/22/2022","NM","Broadway &north St.","KAMPSVILLE BANCSHARES INC","4","0","0","2","0","Calhoun","41180","St. Louis, MO-IL","12/1/1908","1/1/1934","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","St. louis","Central","Central","0","1","www.thebankofkampsville.com","108503","108503","101085","0","7418","0","0","0","","36770","27457","71733","1232","36235","34266","81046","27664","80839","102310","97891","0","0","0","0","",""
"9775","12029","780049","3097850","BANK OF KILMICHAEL","Kilmichael","MS","39747","3/31/2022","8/22/2022","NM","120 N Depot Ave","KILMICHAEL BCORP INC","4","0","0","8","1","Montgomery","","","9/16/1904","1/1/1934","11/16/2021","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Jackson Ms","St. louis","Southern","West","0","1","www.bankofkilmichael.com","239975","239975","202631","0","37344","0","0","0","","120017","61519","119958","16179","32060","71719","178456","62498","177477","226926","188590","0","0","0","0","",""
"1635","0","796451","2352280","BANK OF KIRKSVILLE","Kirksville","MO","63501","3/31/2022","8/22/2022","NM","214 S. Franklin St.","ROCKHOLD BCORP","8","0","0","2","1","Adair","","","1/1/1913","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","1","www.bankofkirksville.com","422965","422965","286480","315","136170","0","0","0","","246897","109392","176068","67392","55502","53174","313573","109392","313573","419236","273004","0","0","0","0","",""
"1874","12723","246657","1051317","BANK OF LABOR","Kansas City","KS","66101","3/31/2022","8/22/2022","NM","756 Minnesota Ave.","INTL BROTHERHOOD BOILERMAKERS IRON SHIP BUILDERS BLACKSMITHS FORGERS&HELPERS","6","0","0","4","0","Wyandotte","28140","Kansas City, MO-KS","9/2/1924","1/1/1934","10/14/2013","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","http://www.bankoflabor.com","745712","745712","663259","0","80962","1491","0","0","","525896","414643","219816","130958","48853","40003","331069","234753","510959","736872","470381","10218","0","0","0","",""
"8695","14218","477349","","BANK OF LAKE MILLS","Lake Mills","WI","53551","3/31/2022","8/22/2022","NM","136 E Madison St","","2","0","0","4","1","Jefferson","","","1/1/1893","1/2/1934","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","0","1","www.bankoflakemills.com","249726","249726","227824","0","21902","0","0","0","","92888","70651","156838","73104","41199","42535","179075","70652","179074","244524","178806","8402","749","749","0","",""
"15547","11215","476445","1137033","BANK OF LAKE VILLAGE","Lake Village","AR","71653","3/31/2022","8/22/2022","SM","101 Main St.","SOUTHEAST ARKANSAS BANK CORP","2","0","0","2","0","Chicot","","","1/1/1934","1/1/1934","6/22/2015","Stock","0","0","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","www.bankoflakevillage.com","66753","66753","54878","0","11876","0","0","0","","36943","21369","29811","5129","9053","15629","45385","21418","45335","63716","54678","0","2384","2384","0","",""
"5425","0","13457","1063516","BANK OF LEWELLEN","Lewellen","NE","69147","3/31/2022","8/22/2022","NM","302 Main St.","LEWELLEN NATIONAL CORP","1","0","0","2","0","Garden","","","10/5/1905","1/1/1934","2/27/2008","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","www.bankoflewellen.com","23966","23966","22744","0","1221","0","0","0","","11587","6585","12378","2831","5638","3909","17380","6585","17381","23462","19114","0","0","0","0","",""
