cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,ntlnlsr,ntrer,ntrecosr,ntrenrsr,ntremulr,ntreresr,ntrelocr,ntreothr,idntcir,idntconr,idntcrdr,idntcoor,idntator,idntcotr,ntcomrer
"10214","15483","208057","1128581","VERMILLION STATE BANK","Vermillion","MN","55085","3/31/2022","8/22/2022","NM","107 E Main St.","VERMILLION BANCSHARES INC","6","0","0","7","1","Dakota","33460","Minneapolis-St. Paul-Bloomington, MN-WI","8/10/1918","1/1/1934","4/19/2011","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","WWW.VERMILLIONBANK.COM","-1.71648388407044","-5.46858978740857E-03","0","0","0","-1.35811900517783E-02","0","-1.43475453741122E-02","-7.85572545815338","0","","0","0","0",""
"16585","0","187648","","VERMONT STATE BANK","Vermont","IL","61484","3/31/2022","8/22/2022","NM","106 N Main St","","1","0","0","8","0","Fulton","37900","Peoria, IL","6/9/1947","6/9/1947","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","https://www.vermontstatebank.com","2.05415499533147","0.734904427092534","0","0","","1.02640019738465","","1.02640019738465","8.47145488029466","5.71183778380694","","5.71183778380694","-5.14676316847608","11.6917626217892",""
"28703","2186","402873","4151544","VERSAILLES SAVINGS AND LOAN COMPANY","Versailles","OH","45380","3/31/2022","8/22/2022","SA","10413 Kley Rd.","VERSAILLES FINANCIAL CORP","1","0","0","8","0","Darke","","","12/13/1887","3/25/1985","12/31/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.versaillessavingsbank.com","0","0","0","0","","0","","0","0","0","","0","0","0",""
"58025","0","3322468","4136439","VERUS BANK OF COMMERCE","Fort Collins","CO","80525","3/31/2022","8/22/2022","SM","3700 S. College Ave, Unit 10","VERUS ACQUISITION GROUP INC","1","0","0","4","0","Larimer","22660","Fort Collins, CO","6/27/2005","6/27/2005","8/22/2017","Stock","0","0","FED","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","www.verusboc.com","0","0","0","0","0","0","0","0","0","0","","0","","0","0"
"29772","4067","126375","","VIDALIA FEDERAL SAVINGS BANK","Vidalia","GA","30474","3/31/2022","8/22/2022","SA","300 Jackson St","","2","0","0","7","0","Toombs","","","9/1/1936","10/2/1936","9/27/2021","Non-Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","HTTP://WWW.VIDFEDONLINE.COM","0","0","","0","","0","","0","","0","","0","0","0",""
"32082","7830","484776","1449512","VIKING BANK, NATIONAL ASSOCIATION","Alexandria","MN","56308","3/31/2022","8/22/2022","N","4277 Dakota St.","VIKING FINANCIAL CORP","2","0","0","4","1","Douglas","","","4/7/1981","4/7/1981","12/2/2019","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.viking.bank","-2.3216804322969E-03","0","0","0","0","0","0","0","0","-8.69376222560313E-02","","-8.69376222560313E-02","0","-0.124011781119206",""
"9273","0","474245","1203237","VILLA GROVE STATE BANK","Villa Grove","IL","61956","3/31/2022","8/22/2022","NM","10 N Main St","VILLA GROVE BANCSHARES INC","2","0","0","8","1","Douglas","","","10/19/1919","12/16/1933","8/29/2021","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","www.villagrovestatebank.com","1.56549645806426E-02","2.04352712782262E-02","0","0","0","2.32801769293447E-02","","2.32801769293447E-02","0","0","","0","0","0",""
"35111","0","2760232","3251027","VILLAGE BANK","Midlothian","VA","23113","3/31/2022","8/22/2022","NM","13531 Midlothian Turnpike","VILLAGE B&T FINANCIAL CORP","9","0","0","4","0","Chesterfield","40060","Richmond, VA","12/13/1999","12/13/1999","2/6/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","www.villagebank.com","-0.287403320453757","-0.35255670755006","0","0","0","-1.43374157900224","-1.24206975934898","-1.47738215683167","-0.123402379903041","0.128388017118402","0","0.133479171687585","0","0.135155428743055",""
"33761","0","2010722","2265867","VILLAGE BANK","Saint Francis","MN","55070","3/31/2022","8/22/2022","NM","3350 Bridge St.","VILLAGE BANCSHARES INC","4","0","0","4","1","Anoka","33460","Minneapolis-St. Paul-Bloomington, MN-WI","1/11/1993","1/11/1993","4/26/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.villagebankonline.bank","0.760240106400417","-0.130386805282803","-1.22537368615645","-7.61056727265809E-03","0","-7.8801430245959E-03","0","-9.07307225567918E-03","4.32265534542648","0","","0","0","0",""
"34011","0","2298995","2260406","VILLAGE BANK AND TRUST, NATIONAL ASSOCIATION","Arlington Height","IL","60004","3/31/2022","8/22/2022","N","234 W N.W. Hwy","WINTRUST FINANCIAL CORP","8","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","5/8/1995","5/8/1995","9/28/2021","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","0","www.bankatvillage.com","-3.15457413249211E-02","-1.05655077992157E-02","0","-1.55424308361828E-03","0","-0.0400558961824","-0.141128320925802","-4.90776469722159E-03","-5.91523990932908E-02","0","","0","0","0","0"
"58533","0","3613559","4935762","VININGS BANK","Smyrna","GA","30080","3/31/2022","8/22/2022","NM","4135 Atlanta Rd.","VININGS BANCSHARES INC","2","0","0","4","0","Cobb","12060","Atlanta-Sandy Springs-Roswell, GA","7/9/2007","7/9/2007","5/22/2009","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","www.viningsbank.com","0","0","0","0","0","0","0","0","0","0","","0","","0",""
"17927","0","45458","4399337","VINTAGE BANK KANSAS","Leon","KS","67074","3/31/2022","8/22/2022","NM","101 S Main St","VINTAGE BCORP INC","10","0","0","2","1","Butler","48620","Wichita, KS","5/1/1902","11/12/1958","8/8/2021","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","www.vintagebankks.com","-4.01332423646506E-03","0","0","0","0","0","0","0","0","-0.102472140386832","","-0.102472140386832","0","-0.210194429847609",""
"34755","0","2708122","4517261","VIRGINIA NATIONAL BANK","Charlottesville","VA","22902","3/31/2022","8/22/2022","N","222 E. Main St.","VIRGINIA NATL BANKSHARES CORP","20","0","0","4","0","Charlottesville Ci","16820","Charlottesville, VA","7/29/1998","7/29/1998","4/1/2021","Stock","0","1","OCC","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","http://www.vnb.com","0.11527082115471","-2.69885349330038E-03","-0.022180941026423","-9.6371608924011E-04","0","-1.18049642826049E-03","-1.05769739277593E-02","0","0.55555861749679","1.3680994562189","","1.3680994562189","0","1.38610391885841",""
"58824","0","3688623","1249918","VIRGINIA PARTNERS BANK","Fredericksburg","VA","22401","3/31/2022","8/22/2022","SM","410 William St.","PARTNERS BCORP","5","0","1","4","0","Fredericksburg Cit","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","8/5/2008","8/5/2008","1/1/2012","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","http://www.VAPartnersBank.com","0","0","0","0","0","0","0","0","0","0","","0","0","0",""
"4029","9919","241157","3292253","VISION BANK, NATIONAL ASSOCIATION","Ada","OK","74820","3/31/2022","8/22/2022","N","101 E. Main St.","VISION BANCSHARES INC","10","0","0","4","1","Pontotoc","","","11/1/1924","1/1/1934","8/1/2020","Stock","0","1","OCC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.visionbank.bank","2.90357344272608E-02","-3.00556713002493E-02","6.58734406521471E-03","-8.80491607814363E-02","0","-8.33852319542632E-03","0","-8.89229760297003E-03","-0.189744319529434","-7.77142302041213E-02","","-7.77142302041213E-02","0.083315975838367","-0.218454886790306","0"
"58063","0","3357077","3357068","VISIONBANK","Saint Louis Park","MN","55416","3/31/2022","8/22/2022","NM","3059 Joppa Ave S","VISION BANCSHARES INC","1","0","0","4","1","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","9/12/2005","9/12/2005","6/17/2020","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.bankwithvision.com","0","0","0","0","0","0","0","0","0","0","","0","0","0",""
"58000","0","3312124","1067532","VISIONBANK","Topeka","KS","66614","3/31/2022","8/22/2022","NM","3031 Sw Wanamaker Rd.","COMMUNITY BANCSHARES INC","3","0","0","4","1","Shawnee","45820","Topeka, KS","4/29/2005","4/29/2005","6/30/2016","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","","-2.28581224909639E-03","0","0","0","0","0","0","0","0","0","","0","0","0",""
"57892","0","3270046","3270037","VISIONBANK","Fargo","ND","58103","3/31/2022","8/22/2022","NM","3000 25th St. S.","VISION BANK HOLDINGS INC","3","0","0","4","0","Cass","22020","Fargo, ND-MN","12/31/2004","12/31/2004","7/15/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","http://www.visionbanks.com","-2.3263861626551E-03","0","0","0","0","0","0","0","0","0","","0","0","0",""
"11763","0","269049","4442596","VISIONBANK OF IOWA","Ames","IA","50010","3/31/2022","8/22/2022","SM","104 Chestnut St","VISIONBANKSHARES INC","9","0","0","4","1","Story","11180","Ames, IA","6/1/1884","1/1/1934","9/29/2017","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","http://www.visionbank.com","-3.32507260607761E-03","-1.8649670600193E-03","-1.27918132395267E-02","0","0","0","0","0","0","-0.97799511002445","-1.58102766798419","-0.707964601769911","0","-0.844772967265047","0"
"1210","0","645465","1135897","VISTA BANK","Dallas","TX","75225","3/31/2022","8/22/2022","SM","5840 W. N.W. Hwy.","VISTA BANCSHARES INC","20","0","0","4","0","Dallas","19100","Dallas-Fort Worth-Arlington, TX","1/25/1912","1/1/1934","9/11/2019","Stock","0","1","FED","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","http://www.vistabank.com","0.175917310643562","0","0","0","0","0","","0","0.717854524926909","0.143433437920215","","0.143433437920215","0","0.561995082543028","9.90510416081756"
