cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,LNPLEDGE,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"16817","0","744854","1427556","CITIZENS BANK","Kilgore","TX","75662","3/31/2022","8/22/2022","NM","301 E Main St.","EAST TEXAS FINANCIAL CORP","13","0","0","4","0","Gregg","30980","Longview, TX","7/24/1949","7/24/1949","10/1/2018","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://WWW.CITIZENSBANKTX.COM","243119","6787","249906","0","249906","189931","189931","46698","104556","41475","63081","13687","24583","407","","182","56559","","2900","0","0","766","2134","334","","26","308","0","0","0","","613","52","0","7561","39137","4040",""
"8758","12611","410944","1203835","CITIZENS BANK","Sac City","IA","50583","3/31/2022","8/22/2022","NM","500 Main St.","CITIZENS HOLDING CO","2","0","0","2","1","Sac","","","2/8/1929","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","0","1","citizensbanksaccity.com","27588","333","27921","0","27921","9984","9984","0","41","41","0","34","4185","5724","","4386","11839","","1504","0","1","947","556","208","","0","208","0","0","0","","0","0","0","0","0","333",""
"893","0","126834","","CITIZENS BANK","Carthage","TN","37030","3/31/2022","8/22/2022","NM","407 Main St N","","7","0","0","4","0","Smith","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","10/26/1929","1/1/1934","11/16/2021","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","www.citzcar.com","306066","3386","309452","0","309452","238377","238377","34488","117933","27261","90672","8580","64668","12708","","3773","39185","","27445","0","0","7030","20415","672","","222","450","0","0","0","","0","0","0","15342","19146","0",""
"14851","12187","778738","2244545","CITIZENS BANK","Elizabethton","TN","37643","3/31/2022","8/22/2022","NM","300 Broad St","CITCO COMMUNITY BANCSHARES INC","13","0","0","4","1","Carter","27740","Johnson City, TN","11/3/1934","11/3/1934","11/16/2021","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","www.citizensbank24.com","807282","9258","816540","2719","819259","716228","716228","148249","420005","187494","232511","28353","115951","3670","","0","81379","","16606","900","34","13528","2144","5046","","335","4711","0","0","0","","228048","9566","0","53883","94366","9258",""
"324","12223","514132","1246681","CITIZENS BANK","Columbia","MS","39429","3/31/2022","8/22/2022","NM","814 Main St","CITIZENS CORP","9","0","0","4","1","Marion","","","7/15/1914","1/1/1934","11/16/2021","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","0","1","www.citizensbk.com","291771","4333","296104","0","296104","239081","239081","20882","75725","62115","13610","2146","81297","59031","","4148","36068","","16324","0","142","5957","10225","483","","184","299","0","0","89","","138226","2311","0","5804","15078","3679",""
"22601","10961","97457","1064317","CITIZENS BANK","Butler","MO","64730","3/31/2022","8/22/2022","NM","19 S. Orange St.","AMSTERDAM BANCSHARES INC","11","0","1","2","1","Bates","28140","Kansas City, MO-KS","1/4/1926","1/27/1978","7/12/2019","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","WWW.CITIZENSBANK.WS","126218","1274","127492","0","127492","104295","104295","6000","19023","14694","4329","2631","39862","36779","","6233","13384","","3536","0","0","2470","1066","43","","0","43","0","0","0","","83685","0","0","4270","1730","1274",""
"3140","0","885252","2952541","CITIZENS BANK","Amarillo","TX","79110","3/31/2022","8/22/2022","NM","4117 S Georgia St.","TRIPLE J FINANCIAL INC","4","0","1","2","1","Randall","11100","Amarillo, TX","2/4/1904","1/1/1934","6/1/2014","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","www.gocitizensbank.com","125473","960","126433","47","126480","53906","53906","264","9685","5287","4398","0","6506","37451","","63251","8892","","377","0","17","97","263","54","","0","54","0","0","0","","0","0","0","40","224","960",""
"14293","0","964250","","CITIZENS BANK & TRUST","Rock Port","MO","64482","3/31/2022","8/22/2022","NM","101 N. Main St.","","2","0","0","2","1","Atchison","","","3/28/1902","4/26/1934","11/6/2013","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.cbtmo.com","46720","464","47184","0","47184","36955","36955","335","11506","0","11506","405","8556","16153","","2016","2932","","1877","0","0","869","1008","3405","","3334","71","0","0","0","","0","0","0","335","0","0",""
"57483","0","3174920","3439179","CITIZENS BANK & TRUST","Guntersville","AL","35976","3/31/2022","8/22/2022","NM","711 Gunter Ave.","CITIZENS B&T HOLDINGS INC","8","0","0","4","0","Marshall","","","3/3/2003","3/3/2003","10/25/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","http://www.citizensbanktrust.com","439473","7852","447325","0","447325","332173","332173","64909","123993","85819","38174","9688","116006","17577","","4532","98850","","10360","0","1574","3099","5687","1410","","1410","0","0","0","127","","53189","0","0","10841","54068","7104",""
"9777","16066","729945","2605249","CITIZENS BANK & TRUST CO.","Marks","MS","38646","3/31/2022","8/22/2022","NM","239 E Main St","CB&T BANCSHARES INC","2","0","0","2","1","Quitman","","","8/17/1917","1/1/1934","11/16/2021","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Jackson Ms","St. louis","Southern","West","0","1","www.cbt-co.com","62281","2305","64586","0","64586","42645","42645","8810","7922","6955","967","0","14175","11738","","8571","9335","","2241","0","10","1006","1225","1794","","1613","181","0","0","0","","4655","0","0","6099","2711","1125",""
