date,MOM
20101118,0.58
20101119,0.54
20101122,1.1
20101123,-0.01
20101124,0.7
20101126,0.38
20101129,-0.29
20101130,0.07
20101201,0.22
20101202,-0.39
20101203,0.08
20101206,0.24
20101207,-0.02
20101208,-0.68
20101209,-0.01
20101210,-0.14
20101213,-0.25
20101214,-0.47
20101215,-0.02
20101216,0.09
20101217,-0.05
20101220,0.06
20101221,0.13
20101222,-0.94
20101223,-0.12
20101227,-0.24
20101228,-0.23
20101229,0.24
20101230,-0.02
20101231,-0.16
20110103,0
20110104,-0.57
20110105,0.11
20110106,-0.51
20110107,0.35
20110110,0.68
20110111,-0.22
20110112,-0.31
20110113,0.31
20110114,-0.18
20110118,-0.31
20110119,-0.13
20110120,-1.25
20110121,-0.15
20110124,0.19
20110125,-0.16
20110126,1.24
20110127,0.03
20110128,-0.17
20110131,0.61
20110201,0.52
20110202,-0.01
20110203,0.1
20110204,0.04
20110207,0.23
20110208,0.14
20110209,-0.05
20110210,0.79
20110211,0.45
20110214,0.54
20110215,-0.29
20110216,0.14
20110217,0.14
20110218,-0.52
20110222,-0.81
20110223,-0.23
20110224,0.38
20110225,0.67
20110228,-0.21
20110301,-0.23
20110302,0.54
20110303,0.8
20110304,0.32
20110307,-0.34
20110308,-0.4
20110309,-0.8
20110310,-0.76
20110311,0.31
20110314,0.29
20110315,0.25
20110316,-0.05
20110317,0.58
20110318,-0.47
20110321,1.25
20110322,-0.18
20110323,0.48
20110324,0.27
20110325,0.62
20110328,-0.15
20110329,0.54
20110330,0.23
20110331,0.23
20110401,0.02
20110404,0.15
20110405,-0.05
20110406,-1.21
20110407,-0.09
20110408,0.08
20110411,-0.53
20110412,-0.71
20110413,0.93
20110414,0.29
20110415,0.19
20110418,-0.37
20110419,0.34
20110420,0.7
20110421,0.79
20110425,-0.19
20110426,-0.36
20110427,-0.1
20110428,-0.23
20110429,0.66
20110502,-0.65
20110503,-1.31
20110504,-0.86
20110505,-0.27
20110506,0.54
20110509,1.18
20110510,0.06
20110511,-1.08
20110512,-0.23
20110513,-0.09
20110516,-0.7
20110517,-0.4
20110518,1.14
20110519,0.29
20110520,0.3
20110523,-0.58
20110524,0.33
20110525,1.19
20110526,0.52
20110527,0.11
20110531,0.27
20110601,-0.25
20110602,0.02
20110603,-0.16
20110606,-0.67
20110607,0.53
20110608,-0.26
20110609,0.44
20110610,-0.6
20110613,-0.59
20110614,0.92
20110615,-0.45
20110616,-0.81
20110617,-0.24
20110620,0.5
20110621,1.13
20110622,0.22
20110623,0.45
20110624,-0.3
20110627,0.21
20110628,1.21
20110629,-0.01
20110630,0.38
20110701,0.33
20110705,1.23
20110706,0.34
20110707,-0.25
20110708,0.36
20110711,-0.14
20110712,-0.58
20110713,0.34
20110714,-0.2
20110715,0.54
20110718,0.34
20110719,0.46
20110720,-0.57
20110721,-0.56
20110722,0.26
20110725,-0.16
20110726,-0.54
20110727,-0.65
20110728,0.11
20110729,0.11
20110801,0.01
20110802,-0.84
20110803,-0.06
20110804,-1.36
20110805,-0.49
20110808,-1.12
20110809,1.55
20110810,1.47
20110811,0.56
20110812,1.17
20110815,-0.23
20110816,-0.68
20110817,-0.6
20110818,-1.99
20110819,-0.58
20110822,-0.03
20110823,2.1
20110824,-0.32
20110825,-0.43
20110826,1.33
20110829,0.07
20110830,0.73
20110831,-0.35
20110901,0.6
20110902,0.37
20110906,1.11
20110907,-1.4
20110908,0.76
20110909,0.17
20110912,-0.15
20110913,0.08
20110914,0.05
20110915,-0.6
20110916,0.54
20110919,1.85
20110920,0.29
20110921,1.06
20110922,0.27
20110923,-0.88
20110926,-1.06
20110927,0.05
20110928,0.37
20110929,-1.8
20110930,0.67
20111003,1.18
20111004,-1.6
20111005,-0.44
20111006,-1.06
20111007,1.77
20111010,-0.51
20111011,-0.32
20111012,-1.31
20111013,0.89
20111014,0.2
20111017,0.9
20111018,-2.07
20111019,0.48
20111020,-0.49
20111021,-0.47
20111024,-1.37
20111025,0.99
20111026,-0.66
20111027,-2.66
20111028,-0.4
20111031,2.25
20111101,1.77
