cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,nclnlsr,ncrer,ncreconr,ncrenrer,ncremulr,ncreresr,ncrelocr,ncrereor,idnccir,idncconr,idnccrdr,idnccoor,idncator,idnccotr,nccomrer,idncgtpr
"10849","0","609832","1491388","TOMPKINS STATE BANK","Avon","IL","61415","12/31/2015","2/22/2022","NM","117 N. Main St.","TOMPKINS BCORP INC","4","0","0","2","1","Fulton","37900","Peoria, IL","1/1/1913","1/1/1934","4/17/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","www.tompkinsstatebank.com","0.144895924217874","0.139850109369957","0","0.363801728058208","0","0.249466719693409","0","0.284371909000989","0.425257731958763","0.069284064665127","","0.069284064665127","0.168728908886389","0","36.8715083798883","0"
"609","10202","433608","2367921","TOMPKINS TRUST COMPANY","Ithaca","NY","14850","12/31/2015","2/22/2022","NM","110 N. Tioga St.","TOMPKINS FINANCIAL CORP","13","0","0","4","0","Tompkins","27060","Ithaca, NY","1/1/1934","1/1/1934","3/28/2007","Stock","0","1","FDIC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","0","http://www.tompkinstrust.com","0.258711184856591","0.220654367185643","0","0.405324088966935","0","0.170214350124507","0.201306437697712","0.166733360010671","0.723020810984767","0.349881172432004","","0.349881172432004","0.503924798914624","0.020708221163802","","0"
"21468","0","790534","3369995","TOTALBANK","Miami","FL","33131","12/31/2015","2/22/2022","NM","100 Se 2nd St, 32nd Fl.","BANCO POPULAR ESPANOL SA","20","0","0","4","0","Miami-Dade","33100","Miami-Fort Lauderdale-West Palm Beach, FL","3/5/1974","3/5/1974","1/28/2015","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","","0.619663068822285","0.532629318258954","0","0.766493191277092","0.269020463065401","0.401183346561801","1.2896085460626","0.349946300865014","1.99029951659528","0.104890520519208","0","0.105000656254102","0","0.106837606837607","","12.9994185563585"
"58687","0","3645840","3645886","TOUCHMARK NATIONAL BANK","Alpharetta","GA","30005","12/31/2015","2/22/2022","N","3651 Old Milton Pkwy.","TOUCHMARK BANCSHARES INC","1","0","0","4","0","Fulton","12060","Atlanta-Sandy Springs-Roswell, GA","1/28/2008","1/28/2008","10/13/2015","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","www.touchmarknb.com","0","0","0","0","0","0","0","0","0","0","","0","","0","",""
"15009","0","63751","","TOWANDA STATE BANK","Towanda","KS","67144","12/31/2015","2/22/2022","NM","400 Main St.","","1","0","0","5","0","Butler","48620","Wichita, KS","1/1/1934","2/2/1935","2/12/2008","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","","1.41136863912987","1.3431934802294","","0","0","1.57633722989727","","1.57633722989727","0","2.12089077412513","","2.12089077412513","2.16216216216216","0","","0"
"13071","12740","487357","1095722","TOWN & COUNTRY BANK","Salem","MO","65560","12/31/2015","2/22/2022","SM","1009 E. Hwy. 32/72","TOWN&COUNTRY BANCSHARES INC","10","0","0","8","1","Dent","","","1/1/1894","1/1/1934","4/8/2009","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","0","1","www.tcbanks.com","0.85768647216726","0.873978616267131","0.858369098712446","0.632930422755427","0","1.20932436469267","0","1.22447276747533","1.32287631106492","0.575604708317165","","0.575604708317165","0.421449067431851","0.974477958236659","","0"
"58522","0","3701054","","TOWN & COUNTRY BANK","Saint George","UT","84770","12/31/2015","2/22/2022","NM","405 East St. George Blvd.","","2","0","0","4","0","Washington","41100","St. George, UT","2/19/2008","2/19/2008","8/12/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","0","1","","1.24313169737202","0","0","0","0","0","0","0","6.32420268487623","0","","0","0","0","","0"
"57312","0","3067929","1057113","TOWN & COUNTRY BANK","Las Vegas","NV","89147","12/31/2015","2/22/2022","NM","8620 W. Tropicana Ave.","WEST POINT BCORP INC","5","0","0","4","1","Clark","29820","Las Vegas-Henderson-Paradise, NV","4/15/2002","4/15/2002","3/18/2013","Stock","0","0","FDIC","DIF","San Francisco","KANSAS CITY","Phoenix","San Francisco","Western","Western","0","1","www.tcbanknv.bank","1.76087083066535","1.95182277664265","23.2037841984147","0","0","0","0","0","0","0","","0","","0","","0"
"1434","15876","738255","1054859","TOWN & COUNTRY BANK","Ravenna","NE","68869","12/31/2015","2/22/2022","SM","423 Grand Ave.","PLATTE VALLEY CATTLE CO","4","0","0","2","0","Buffalo","","","1/1/1932","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","www.tcbank.bank","5.20679660516861E-03","0","0","0","","0","0","0","0","0.191326530612245","","0.191326530612245","0.47244094488189","0","","0"
"15703","11172","692946","1100112","TOWN & COUNTRY BANK AND TRUST COMPANY","Bardstown","KY","40004","12/31/2015","2/22/2022","NM","201 N. 3rd St.","FIRST FARMERS BANK HOLDING CO","6","0","0","4","0","Nelson","","","9/9/1907","11/25/1939","11/19/2014","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","0","1","http://www.mytcbt.bank","0.741916992271149","0.767147353780836","6.88053575286239","0.537729023679631","0","0.199594939681235","0","0.242135061512988","0","0","","0","0","0","","0"
"10460","0","349343","1095816","TOWN & COUNTRY BANK MIDWEST","Quincy","IL","62301","12/31/2015","2/22/2022","NM","524 N. 30th St.","T&C BCORP INC","6","0","1","4","1","Adams","","","1/1/1910","1/1/1934","7/3/2015","Stock","0","1","FDIC","DIF","Chicago","KANSAS CITY","Springfield Il","St. louis","Central","Central","0","1","www.tcbankmidwest.com","0.323710423475636","0.168902258605385","0","0","0","0.589602341194698","0","0.607431054358429","0.742618023221548","0.697612020391736","","0.697612020391736","0","0.914205344585091","","0"
"18487","9151","590248","1208531","TOWN AND COUNTRY BANK","Springfield","IL","62704","12/31/2015","2/22/2022","SM","1925 S. Macarthur Blvd.","TOWN&COUNTRY FINANCIAL CORP","9","0","0","4","0","Sangamon","44100","Springfield, IL","3/1/1962","3/1/1962","12/31/2015","Stock","0","1","FED","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","www.townandcountrybank.com","0.586931427115907","0.59962026298306","0","0.525295521093157","0","0.965797481030698","0.407464273060116","1.07457603718447","0.750542384144792","0.118308192842354","","0.118308192842354","0.316957210776545","0","","0"
"34717","0","2693264","2260406","TOWN BANK","Hartland","WI","53029","12/31/2015","2/22/2022","SM","850 W. N. Shore Dr.","WINTRUST FINANCIAL CORP","19","0","0","4","0","Waukesha","33340","Milwaukee-Waukesha-West Allis, WI","7/23/1998","7/23/1998","1/17/2015","Stock","0","0","FED","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","0","0","www.townbank.us","0.139900803551667","7.63975539751162E-02","1.99183348272084E-02","0","0","0.326813673485372","0","0.460113474608553","0.366615584109395","0","","0","0","0","0","0"
"58214","0","3459216","","TOWN CENTER BANK","Frankfort","IL","60423","12/31/2015","2/22/2022","NM","20181 S Lagrange Rd.","","2","0","0","4","0","Will","16980","Chicago-Naperville-Elgin, IL-IN-WI","9/18/2006","9/18/2006","7/21/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","http://www.towncenterbank.net","0.103640161359759","0.136137058601768","0","0","0","0.542752171008684","0","3.73993095512083","0","0","","0","0","0","","0"
"29877","4246","1011076","4303969","TOWN SQUARE BANK","Ashland","KY","41101","12/31/2015","2/22/2022","SA","1500 Carter Ave","POAGE BANKSHARES INC","10","0","0","5","0","Boyd","26580","Huntington-Ashland, WV-KY-OH","1/1/1889","8/2/1937","5/31/2015","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","","1.42144929732665","1.50932928971652","3.50094620167613","1.04144730544654","0","1.51557676115633","0.277543139857608","1.5692241726408","1.32775033998998","0.171441212255282","0","0.178232622319324","0","0.465605286872935","","0"
