cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,eqcprev,eqcrest,netinc,eqcstkrx,eqctrstx,eqcmrg,eqcdivp,eqcdivc,eqccompi,eqcbhctr,eq
"23621","7290","473501","2333663","BERKSHIRE BANK","Pittsfield","MA","1201","12/31/2015","2/22/2022","NM","24 North St.","BERKSHIRE HILLS BCORP INC","95","0","1","4","0","Berkshire","38340","Pittsfield, MA","2/6/1846","1/2/1982","4/18/2015","Stock","0","1","FDIC","DIF","New York","NEW YORK","Windsor","Boston","Northeastern","Northeast","0","0","http://www.berkshirebank.com","711155","0","52117","-671","0","153865","0","28000","-9663","0","878803"
"20015","0","7009","1246159","BESSEMER TRUST COMPANY","Woodbridge","NJ","7095","12/31/2015","2/22/2022","NM","100 Woodbridge Ctr. Dr.","BESSEMER GROUP INC THE","1","0","0","8","1","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1907","8/14/1969","4/11/2014","Stock","0","1","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","0","http://www.bessemertrust.com","56831","0","14947","0","0","0","0","13500","-1097","0","57181"
"21868","0","976703","1246159","BESSEMER TRUST COMPANY, NATIONAL ASSOCIATION","New York","NY","10111","12/31/2015","2/22/2022","N","630 5th Ave.","BESSEMER GROUP INC THE","1","0","0","9","1","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","12/20/1974","12/20/1974","3/31/2006","Stock","0","1","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","0","http://www.bessemertrust.com","195110","0","48517","0","0","0","0","43000","-89","0","200538"
"1808","15971","851631","1095058","BETTER BANKS","Peoria","IL","61615","12/31/2015","2/22/2022","NM","10225 N. Knoxville Ave.","BACKLUND INVESTMENT CO","7","0","0","8","1","Peoria","37900","Peoria, IL","1/1/1898","1/1/1934","8/15/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","http://www.betterbanks.com","23484","0","2710","0","0","0","0","1542","197","0","24848"
"26601","9804","946171","3197835","BEVERLY BANK","Beverly","MA","1915","12/31/2015","2/22/2022","SB","254 Cabot St.","BEVERLY FINANCIAL MHC","5","0","0","4","0","Essex","14460","Boston-Cambridge-Newton, MA-NH","1/1/1888","3/25/1986","3/17/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","","27275","0","2354","0","0","0","0","0","-121","5000","34508"
"57701","0","3216017","2260406","BEVERLY BANK & TRUST COMPANY, NATIONAL ASSOCIATION","Chicago","IL","60643","12/31/2015","2/22/2022","N","10258 S. Western Ave.","WINTRUST FINANCIAL CORP","7","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","4/1/2004","4/1/2004","11/13/2015","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","0","www.thebeverlybank.com","83242","0","3176","312","0","0","0","0","-391","2000","88339"
"17741","10536","499501","","BIDDEFORD SAVINGS BANK","Biddeford","ME","4005","12/31/2015","2/22/2022","SB","254 Main St.","","6","0","0","4","0","York","38860","Portland-South Portland, ME","7/27/1867","4/4/1957","5/3/2012","Non-Stock","0","1","FDIC","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","0","1","www.mainecb.com","38066","0","2343","0","0","0","0","0","-567","-309","39533"
"3320","0","362856","1918081","BIG BEND BANKS, N.A.","Marfa","TX","79843","12/31/2015","2/22/2022","N","301 S. Highland Ave.","BIG BEND BANCSHARES CORP","2","0","0","7","1","Presidio","","","5/2/1907","1/1/1934","6/29/2009","Stock","0","1","OCC","DIF","Dallas","DALLAS","Albuquerque","Dallas","Southern","West","0","1","www.marfanb.com","15989","0","1742","0","0","0","0","207","-3","0","17520"
"29637","3790","521970","","BIG HORN FEDERAL SAVINGS BANK","Greybull","WY","82426","12/31/2015","2/22/2022","SA","33 N. 6th St.","","6","0","0","7","0","Big Horn","","","1/1/1935","2/28/1936","7/21/2011","Non-Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Billings","Kansas City","Western","West","0","1","www.bighornfederal.com","21891","0","1056","0","0","0","0","0","-18","0","22930"
"57973","0","3363975","3899456","BISCAYNE BANK","Miami","FL","33133","12/31/2015","2/22/2022","NM","3121 Commodore Plaza, 3rd Fl","BISCAYNE BANCSHARES INC","4","0","0","4","0","Miami-Dade","33100","Miami-Fort Lauderdale-West Palm Beach, FL","7/5/2005","7/5/2005","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","","38815","0","7623","6813","0","0","0","0","19","0","53269"
"14083","0","354","","BISON STATE BANK","Bison","KS","67520","12/31/2015","2/22/2022","NM","223 Main St.","","1","0","0","2","0","Rush","","","1/1/1901","3/21/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","https://www.bisonstatebank.com","937","0","-33","0","0","0","0","0","55","0","958"
"58723","0","3636428","3636389","BLACK HILLS COMMUNITY BANK, N.A.","Rapid City","SD","57701","12/31/2015","2/22/2022","N","840 Mount Rushmore Rd.","BHCB HOLDING CO","2","0","0","4","1","Pennington","39660","Rapid City, SD","11/27/2007","11/27/2007","7/20/2011","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","1","http://www.BHCBANK.COM","19407","0","1531","2000","0","0","0","300","-45","0","22593"
"27897","507","444677","","BLACK MOUNTAIN SAVINGS BANK, SSB","Black Mountain","NC","28711","12/31/2015","2/22/2022","SB","200 E State St.","","1","0","0","5","0","Buncombe","11700","Asheville, NC","4/4/1923","7/10/1985","3/31/2006","Non-Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","0","1","","4630","0","97","0","0","0","0","0","0","0","4727"
