cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnls,lnrs3les,lnrs3t12,lnrs1t3,lnrs3t5,lnrs5t15,lnrsov15,lnot3les,lnot3t12,lnot1t3,lnot3t5,lnot5t15,lnotov15
"18508","10143","681043","1130726","FIRST SECURITY STATE BANK","Evansdale","IA","50707","6/30/2010","8/17/2020","NM","3600 Lafayette Rd.","EVANS BANCSHARES INC","3","0","0","4","1","Black Hawk","47940","Waterloo-Cedar Falls, IA","4/23/1962","4/23/1962","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.fssbonline.com","64815","369","845","1462","1656","405","93","5037","3283","19667","21068","10042","243"
"11932","15889","819154","1135057","FIRST SECURITY STATE BANK","Cranfills Gap","TX","76637","6/30/2010","8/17/2020","NM","307 3rd St.","BOSQUE BANCSHARES INC","4","0","0","7","1","Bosque","","","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.fssbtexas.com","34721","646","2062","8457","381","208","0","3404","4956","7488","2849","3847","278"
"17224","0","592439","2125523","FIRST SECURITY TRUST AND SAVINGS BANK","Elmwood Park","IL","60707","6/30/2010","8/17/2020","NM","7315 W. Grand Ave.","FIRST SECURITY BCORP INC","1","0","0","8","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/26/1946","5/27/1953","3/15/2007","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.fstsb.com","102892","7559","1386","7509","2363","8157","4279","1522","599","3068","3038","18661","5098"
"34863","15357","2817323","1118948","FIRST SECURITY TRUST BANK, INC.","Florence","KY","41042","6/30/2010","8/17/2020","NM","7135 Houston Rd.","COMMONWEALTH BANCSHARES INC","3","0","0","4","1","Boone","17140","Cincinnati, OH-KY-IN","6/14/1999","6/14/1999","4/3/2008","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","","94519","2365","5069","5813","1776","639","2702","29145","5837","20773","16768","1463","0"
"31928","7612","920975","2702250","FIRST SENTINEL BANK","Richlands","VA","24641","6/30/2010","8/17/2020","SM","315 Railroad Ave.","FIRST REGION BANCSHARES INC","5","0","0","6","0","Tazewell","","","6/20/1978","6/20/1978","3/31/2006","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","http://www.firstsentinelbank.com","129430","2177","1674","9429","11117","24588","72","13287","6951","24049","23766","10627","0"
"34241","0","2506757","3065774","FIRST SENTRY BANK, INC.","Huntington","WV","25701","6/30/2010","8/17/2020","NM","823 Eighth St.","FIRST SENTRY BANCSHARES INC","5","0","0","4","0","Cabell","26580","Huntington-Ashland, WV-KY-OH","10/23/1996","10/23/1996","9/26/2009","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","","363285","6085","10645","12201","22825","5072","3135","87797","48740","51875","73917","30321","7664"
"18519","10182","458544","1137266","FIRST SERVICE BANK","Greenbrier","AR","72058","6/30/2010","8/17/2020","NM","134 S. Broadview","FIRST SERVICE BANCSHARES INC","9","0","0","4","1","Faulkner","30780","Little Rock-North Little Rock-Conway, AR","5/7/1962","5/7/1962","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","https://www.firstservicebank.com","172550","8347","17279","16487","2141","109","755","31856","48979","33286","3361","5395","0"
"30680","5740","59370","","FIRST SHORE FEDERAL SAVINGS AND LOAN ASSOCIATION","Salisbury","MD","21801","6/30/2010","8/17/2020","SA","106 S. Division St.","","8","0","1","5","0","Wicomico","41540","Salisbury, MD-DE","12/18/1953","12/18/1953","8/26/2008","Non-Stock","0","0","OTS","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.firstshorefederal.com","279452","","","","","","","","","","","",""
"57799","0","3282692","","FIRST SOUND BANK","Seattle","WA","98104","6/30/2010","8/17/2020","NM","925 4th Ave, # 2350","","1","0","0","4","0","King","42660","Seattle-Tacoma-Bellevue, WA","7/19/2004","7/19/2004","3/31/2006","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","firstsoundbank.com","141149","0","0","374","0","0","0","37701","3775","47312","22438","987","0"
"34222","0","2491291","2817314","FIRST SOUTH BANK","Spartanburg","SC","29306","6/30/2010","8/17/2020","NM","1450 John B White Sr Blvd","FIRST SOUTH BCORP INC","5","0","0","4","0","Spartanburg","43900","Spartanburg, SC","8/19/1996","8/19/1996","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","","325797","23158","2338","3394","3341","0","137","184805","21333","31092","4740","2241","1468"
"9170","13882","327453","1119075","FIRST SOUTH BANK","Jackson","TN","38305","6/30/2010","8/17/2020","NM","1862 Hwy. 45 Bypass","HARDEMAN COUNTY INV CO INC","10","0","0","4","1","Madison","27180","Jackson, TN","4/18/1903","1/1/1934","12/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","0","1","","276940","3040","7066","28476","9030","5708","2401","31576","48650","56633","52042","24452","1469"
"31084","6352","883874","2521509","FIRST SOUTH BANK","Washington","NC","27889","6/30/2010","8/17/2020","NM","1311 Carolina Ave.","FIRST SOUTH BCORP INC","28","0","0","4","0","Beaufort","","","1/1/1902","8/6/1959","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Raleigh","Richmond","Northeastern","Southeast","0","1","","652853","12985","15058","43096","18444","16332","25557","91205","109837","151512","78001","53710","4571"
"10576","12917","22552","1137510","FIRST SOUTHEAST BANK","Harmony","MN","55939","6/30/2010","8/17/2020","NM","3 Main Ave N","FIRST SOUTHEASTERN BANC GROUP","2","0","0","2","1","Fillmore","40340","Rochester, MN","3/15/1893","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.firstsoutheastbank.com","47426","216","923","980","1016","1379","334","11880","5504","8315","8192","5604","2383"
