cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,ntlnlsr,ntrer,ntrecosr,ntrenrsr,ntremulr,ntreresr,ntrelocr,ntreothr,idntcir,idntconr,idntcrdr,idntcoor,idntator,idntcotr,ntcomrer
"406","16947","155759","1052958","CLEO STATE BANK","Cleo Springs","OK","73729","12/31/2011","11/15/2020","NM","202 S. Sq.","CLEO BANCSHARES INC","4","0","0","2","1","Major","","","10/25/1900","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","cleostatebank.com","0.333699933260013","0.351123595505618","","0","","1.07688994184794","","1.07688994184794","0.859003555875185","0.345542501727713","","0.318431899800096","0","0.52398695854681",""
"9517","0","48440","1202865","CLEVELAND STATE BANK","Cleveland","WI","53015","12/31/2011","11/15/2020","NM","1250 W. Washington Ave.","WISCUB INC","2","0","0","8","0","Manitowoc","","","4/19/1907","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","www.clevelandstate.bank","0.161838485191779","0","0","0","0","0","","0","0","2.52391853025767","0","2.30894177976454","3.52245565479935","0.920916311730171",""
"28633","1997","554473","3790432","CLIFTON SAVINGS BANK","Clifton","NJ","7013","12/31/2011","11/15/2020","SA","1433 Van Houten Ave, 3rd Fl.","CLIFTON MHC","12","0","0","5","0","Passaic","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1928","1/2/1940","7/21/2011","Stock","0","0","OCC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","","-3.21192992202248E-02","-3.21875619100553E-02","0","4.86594326310155E-02","0","-3.57354130699859E-02","0","-3.59107898335583E-02","","0","","0","","0",""
"304","15798","782548","2266387","CLINTON BANK","Clinton","KY","42031","12/31/2011","11/15/2020","NM","220 E. Clay St.","CLINTON BCORP INC","1","0","0","2","0","Hickman","","","9/1/1887","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Hopkinsville","St. louis","Central","Southeast","0","1","www.clintonbankky.com","7.43046938275091E-02","-2.82042362762887E-02","0","0","","-0.136892539356605","","-0.136892539356605","1.80080343537886","0","","0","0","0",""
"90181","8340","179700","3195756","CLINTON SAVINGS BANK","Clinton","MA","1510","12/31/2011","11/15/2020","SB","200 Church St.","CLINTON FINANCIAL SERVICES MHC","7","0","0","5","0","Worcester","49340","Worcester, MA-CT","5/15/1851","11/20/1985","3/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","Springfield Ma","Boston","Northeastern","Northeast","0","1","www.clintonsavings.com","0.357718735019393","0.379042816435457","0","0","0","0.567030862107311","0.907499420745051","0.538296744363908","0","0.316431663417968","","0.313395134853927","-0.391900718484651","0.34894132518698",""
"1099","15451","341851","1126587","CLINTON STATE BANK","Clinton","MN","56225","12/31/2011","11/15/2020","SM","Main St. &ushy 75","CLINTON BANCSHARES INC","1","0","0","2","1","Big Stone","","","1/1/1903","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","","-2.17718829195224E-03","0","","0","0","0","","0","0","-0.062266500622665","","-5.47540175760396E-02","0","-0.138007176373171",""
"27055","11640","81429","2684338","CLOVER COMMUNITY BANK","Clover","SC","29710","12/31/2011","11/15/2020","NM","124 N. Main St.","CLOVER CMTY BANKSHARES INC","2","0","0","4","0","York","16740","Charlotte-Concord-Gastonia, NC-SC","10/1/1987","10/1/1987","4/1/2008","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","","2.30517279740869","1.25659001152662","7.24671780151522","1.04267205850236","","0.63552797961069","2.24824636783309","-0.151086850570231","8.61141945330928","-0.390387785199965","0","-0.377058108844107","-1.62425554953979","0.410004100041",""
"4832","13973","933023","2429838","CNB","Centreville","MD","21617","12/31/2011","11/15/2020","SM","109 N. Commerce St.","SHORE BANCSHARES INC","11","0","1","4","0","Queen Annes","12580","Baltimore-Columbia-Towson, MD","6/1/1876","1/1/1934","1/1/2011","Stock","0","0","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","shoreunitedbank.com","1.1114177782994","1.10102154242981","2.83757220067246","0.930680156252968","0","0.758145918186648","0.783515644874078","0.752528518352458","1.58421109915227","0.511556526996233","2.48756218905473","0.475484258074742","5.63560678834454","-0.632598052698168",""
"13876","11178","399517","1118340","CNB BANK","Clearfield","PA","16830","12/31/2011","11/15/2020","NM","One S. 2nd St.","CNB FINANCIAL CORP","27","0","0","4","0","Clearfield","","","1/27/1934","2/9/1934","8/5/2009","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","www.cnbbank.bank","0.296684118673647","0.078898157332571","0","8.45734231861884E-02","0","8.34601354275022E-02","0","0.109526244932648","0.818019513383733","0.59557479766774","0.700923285154928","0.555844041863833","0.1549937033808","0.6732223903177","0"
"3775","0","613343","1245460","CNB BANK AND TRUST, N.A.","Carlinville","IL","62626","12/31/2011","11/15/2020","N","450 W. Side Sq.","CARLINVILLE NB SHARES INC","12","0","1","2","0","Macoupin","41180","St. Louis, MO-IL","1/1/1888","1/1/1934","7/16/2011","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Springfield Il","St. louis","Central","Central","0","1","www.cnbil.com","0.436894753361718","7.01835069464038E-02","0.852328759403793","-4.76966113942435E-03","0","0.109462060716736","0","0.125526599392574","2.38916873452549","0.232069572014852","0.653228816722658","0.188179875679876","0.102494021182098","0.235413763230254",""
"14507","0","944627","2909200","CNB BANK, INC.","Berkeley Springs","WV","25411","12/31/2011","11/15/2020","NM","101 S. Washington St.","CNB FINANCIAL SERVICES INC","6","0","1","5","0","Morgan","25180","Hagerstown-Martinsburg, MD-WV","1/1/1917","6/18/1934","6/6/2007","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","https://www.cnbwv.com","0.346319388353489","0.239013048200327","0.238394521260457","0","0","0.285479199692269","0.792038992688871","0.263012356176377","1.53294462237552","0.835030251534551","","0.799262435016108","1.96415418610361","0.481781521002106","0"
"5413","0","274753","1065716","CNB COMMUNITY BANK","Greeley","NE","68842","12/31/2011","11/15/2020","SM","123 S. Galway St","CITY NATIONAL BANCSHARES INC","1","0","0","2","0","Greeley","","","5/1/1930","1/1/1934","6/2/2010","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","","0.191818922936748","0.140716245690565","0","1.08695652173913","0","0","","0","1.607286364854","0","0","0","0","0",""
"34427","15860","2596262","2705943","CNLBANK","Orlando","FL","32801","12/31/2011","11/15/2020","NM","450 S. Orange Ave.","CNLBANCSHARES INC","16","0","0","4","0","Orange","36740","Orlando-Kissimmee-Sanford, FL","7/28/1997","7/28/1997","6/24/2009","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","0","","5.00785627329223","5.15809695760968","14.2992249976123","3.0843567854946","0","2.70024228992873","1.20859178603835","3.01149193391944","3.9895959793329","4.78515837893222","","4.705579702766","0","5.13234193789749",""
"34381","0","2579069","3003570","COAST NATIONAL BANK","San Luis Obispo","CA","93401","12/31/2011","11/15/2020","N","500 Marsh St.","COAST BCORP","5","0","0","4","0","San Luis Obispo","42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","6/16/1997","6/16/1997","3/31/2006","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","0","1","","1.65937345270117","1.7180964339954","9.428478000218","6.03519187439648E-02","0","1.21557885865249","1.83856342151298","0.697577772500594","1.48234510326449","0.486933939295569","1.26262626262626","0.287287526933206","-0.40281973816717","0.50251256281407",""
"58899","0","3869123","","COASTAL BANK & TRUST","Jacksonville","NC","28546","12/31/2011","11/15/2020","NM","2414 N Marine Blvd","","1","0","0","4","0","Onslow","27340","Jacksonville, NC","4/13/2009","4/13/2009","4/13/2009","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Raleigh","Richmond","Northeastern","Southeast","0","1","http://www.coastalbanknc.com","0","0","0","0","0","0","0","0","0","0","","0","0","0",""
"58864","0","3821822","3823817","COASTAL CAROLINA NATIONAL BANK","Myrtle Beach","SC","29577","12/31/2011","11/15/2020","N","2305 N. Oak St.","COASTAL CAROLINA BANCSHARES","1","0","0","4","0","Horry","34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC","6/8/2009","6/8/2009","10/26/2009","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","WWW.MYCCNB.COM","0","0","0","0","0","0","0","0","0","0","","0","0","0","0"
"35005","0","2760102","3154810","COASTAL COMMERCE BANK","Houma","LA","70360","12/31/2011","11/15/2020","NM","1300 W. Tunnell Blvd.","COASTAL COM BANCSHARES INC","7","0","0","4","1","Terrebonne","26380","Houma-Thibodaux, LA","1/11/1999","1/11/1999","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","","0.110610715795976","0.107885294113526","0","2.46293286045022E-02","0","0.218080950393644","0","0.243952950426654","0.130834996282819","-9.50895743790651E-03","","-9.13146107943002E-03","-4.60034502587694E-02","0","0"
