cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"21265","10221","725732","","BAC FLORIDA BANK","Coral Gables","FL","33134","12/31/2017","8/22/2022","NM","169 Miracle Mile, # R10","","1","0","0","5","0","Miami-Dade","33100","Miami-Fort Lauderdale-West Palm Beach, FL","10/12/1973","10/12/1973","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","0","https://www.bradescobacflorida.com","169","2091648","281758","262616","113788","0","1626711","16641","4996","1284","2805","3283","57023","2091648","1911790","1709467","1237461","1643387","52.2544357692209","17000","0","169655","0","15668","179858","179772","20000","20868","30207","108697","86","8433","0","8106","2008111","125126","2025901.2","2084634","1312553","2012647","30577","29805","0","772","521775","15030","127080","0","56313","179972","16410","56313","0"
"2469","0","846945","1247727","BADGER BANK","Fort Atkinson","WI","53538","12/31/2017","8/22/2022","NM","220 Grant St.","CITIZENS FINL EMPLOYEE STK OWNERSHIP PLAN&TR","4","0","0","8","0","Jefferson","","","1/7/1884","1/1/1934","4/30/2007","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","0","1","www.badgerbank.bank","41","135944","12103","8580","25206","5535","82928","752","0","4764","394","482","4532","135944","120232","119315","95113","119315","85.9658971888223","0","0","0","0","917","15712","15712","0","600","4879","10233","0","1210","0","342","122249","16166","134999.4","136763.5","78223","136916","3631","2720","0","911","3859","1260","0","0","4658","15307","752","4658","415"
"2987","13311","69678","1141870","BAKER-BOYER NATIONAL BANK","Walla Walla","WA","99362","12/31/2017","8/22/2022","N","7 W. Main St","BAKER BOYER BCORP","8","0","1","4","0","Walla Walla","47460","Walla Walla, WA","11/10/1869","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","www.bakerboyer.com","179","606426","127881","123811","176706","0","280674","6225","0","13009","0","644","7512","606426","554921","535889","362888","535889","77.9751819369285","17652","0","0","0","1380","51505","51505","0","4505","8913","38087","0","1095","0","2014","581191","190208","607263.6","605141.5","335007","607448","0","0","0","0","21074","7528","0","0","76241","51608","4225","76241","0"
"26704","0","696168","","BALBOA THRIFT AND LOAN ASSOCIATION","Chula Vista","CA","91910","12/31/2017","8/22/2022","NM","865 Amena Court","","4","0","0","6","0","San Diego","41740","San Diego-Carlsbad, CA","12/11/1980","7/3/1986","7/20/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","0","http://www.balboathrift.com","93","264347","16717","1142","0","0","243917","3609","0","342","0","0","3371","264347","226078","225031","223029","225031","88.7013633374216","0","0","0","0","1047","38269","38269","0","3628","0","34641","0","956","0","1368","245059","122988","252935","261522.5","252780","260316","0","0","0","0","31240","3661","0","0","1083","38269","3165","1083","0"
"34456","0","1429028","","BALLINGER NATIONAL BANK","Ballinger","TX","76821","12/31/2017","8/22/2022","N","900 Hutchings Ave.","","1","0","0","2","1","Runnels","","","4/1/1997","4/1/1997","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.keystone.bank","14","42224","2394","1010","20801","2472","15860","277","0","207","0","0","490","42225","38245","37802","23724","37802","91.760349160164","0","0","0","0","443","3980","3980","0","1000","2690","290","0","393","0","178","40143","27328","43168.2","42617.5","20127","43244","0","0","0","0","267","112","0","0","2018","4338","251","2018","0"
"6959","13519","505","1048728","BALLSTON SPA NATIONAL BANK","Ballston Spa","NY","12020","12/31/2017","8/22/2022","N","87 Front St.","BALLSTON SPA BCORP INC","13","0","0","4","0","Saratoga","10580","Albany-Schenectady-Troy, NY","1/1/1838","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","https://ww.bsnb.com","124","499089","5641","372","74257","0","391616","4839","0","10589","139","1641","15206","499089","461130","406099","333361","406099","71.5146799562704","0","0","50100","0","4931","37959","37901","0","6480","10653","20768","58","3584","0","1562","466245","302401","469189.8","491479","370991","491090","4837","4837","0","0","53458","14289","50100","0","55108","39491","4640","55108","0"
"35498","15953","200378","3153130","BANC OF CALIFORNIA, NATIONAL ASSOCIATION","Santa Ana","CA","92707","12/31/2017","8/22/2022","N","3 Macarthur Pl.","BANC OF CALIFORNIA INC","36","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","4/21/1941","1/3/2000","5/3/2017","Stock","0","1","OCC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","www.bancofcal.com","734","10317088","385059","352639","2575469","0","6715839","49333","0","131658","1796","80205","427062","10317088","9173284","7333415","6221184","7333415","50.5011151869173","0","0","1696464","0","143405","1143804","1143804","0","53","896945","246806","0","104455","84484","35394","9643947","2738764","10593714.8","10296717.5","6829485","10101488","104851","85211","19640","0","1830871","0","1695000","105765","1665760","1078008","53049","1665760","140972"
"4033","0","251352","2107789","BANCCENTRAL, NATIONAL ASSOCIATION","Alva","OK","73717","12/31/2017","8/22/2022","N","602-612 Flynn St.","MYERS BANCSHARES INC","5","0","1","2","1","Woods","","","8/11/1913","1/1/1934","7/17/2015","Stock","0","1","OCC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.bcna.com","78","490973","16355","4738","199852","0","229818","3955","0","23050","396","4298","17204","490973","446808","445384","336312","445384","68.7599729789779","0","0","0","0","1424","44165","44165","0","1000","10956","32209","0","5348","0","4765","434408","264055","493161.4","487517","347990","475077","10685","10685","0","0","65160","642","0","0","49889","39873","3955","49889","0"
"27476","12941","1386251","1133286","BANCFIRST","Oklahoma City","OK","73102","12/31/2017","8/22/2022","NM","101 N. Broadway, # 200","BANCFIRST CORP","105","0","0","4","0","Oklahoma","36420","Oklahoma City, OK","4/1/1989","4/1/1989","11/13/2015","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","0","www.bancfirst.bank","1696","7236903","1755689","1539585","464291","700","4676502","51666","0","133848","4136","57278","144459","7236903","6519994","6492260","3927406","6492260","80.6713430443277","900","0","0","0","26834","716909","716909","20000","20863","74426","601620","0","34836","6972","23080","6681078","1306489","7113353","7176759","5096224","7127532","73054","69459","3595","0","115541","72808","0","6173","1050685","663298","51666","1050685","6279"
"26725","0","110936","1242076","BANCO DO BRASIL AMERICAS","Miami","FL","33131","12/31/2017","8/22/2022","NM","1221 Brickell Ave, # 2200","BANCO DO BRASIL SA","5","0","0","4","0","Miami-Dade","33100","Miami-Fort Lauderdale-West Palm Beach, FL","7/24/1986","7/24/1986","7/31/2017","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","http://www.bbamericas.com","105","593879","78971","55532","60351","3925","424324","4372","0","2607","0","10488","13213","593879","529366","525212","311643","525212","79.8244979537451","0","0","0","0","4154","64513","64513","0","61500","6000","-2987","0","82","0","1712","544132","35493","554128.2","581330","312213","570516","0","0","0","0","42623","19","0","0","70505","51047","3923","70505","0"
