cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,szislres,szislhel,szislccd,szislaut,szislcon,szislci,szisloth,ENCERES,ENCEAUTO,ENCECON,ENCECI,ENCEOTH,ASCERES,ASCEOTH
"24563","0","528960","3211012","TEXAS COMMUNITY BANK, NATIONAL ASSOCIATION","Laredo","TX","78041","3/31/2011","11/15/2020","N","6721 Mcpherson Rd.","VISION BANCSHARES INC","9","0","0","4","0","Webb","29700","Laredo, TX","6/20/1983","6/20/1983","6/11/2008","Stock","0","0","OCC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","http://www.tx-communitybank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20099","0","822556","","TEXAS EXCHANGE BANK, SSB","Crowley","TX","76036","3/31/2011","11/15/2020","SB","109 N Crowley Rd.","","2","0","0","4","1","Tarrant","19100","Dallas-Fort Worth-Arlington, TX","1/5/1970","1/5/1970","12/9/2010","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.txexbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26738","0","656658","1140967","TEXAS FINANCIAL BANK","Eden","TX","76837","3/31/2011","11/15/2020","NM","220 Jackson St.","EDEN FINANCIAL CORP","3","0","0","2","0","Concho","","","7/31/1986","7/31/1986","4/1/2010","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://www.texasfinancialbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23799","0","473266","1103878","TEXAS FIRST BANK","Texas City","TX","77590","3/31/2011","11/15/2020","SM","3232 Palmer Hwy.","TEXAS IND BANCSHARES INC","11","0","0","4","0","Galveston","26420","Houston-The Woodlands-Sugar Land, TX","4/23/1982","4/23/1982","9/25/2009","Stock","0","0","FED","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","http://www.texasfirst.bank","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22420","0","417859","1103878","TEXAS FIRST BANK","Santa Fe","TX","77510","3/31/2011","11/15/2020","NM","12402 Hwy. 6","TEXAS IND BANCSHARES INC","9","0","0","4","0","Galveston","26420","Houston-The Woodlands-Sugar Land, TX","2/22/1977","2/22/1977","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15300","0","655660","1104549","TEXAS FIRST STATE BANK","Riesel","TX","76682","3/31/2011","11/15/2020","NM","400 S Memorial St","TEXAS FIRST BANCSHARES INC","5","0","0","7","0","Mclennan","47380","Waco, TX","1/1/1906","11/7/1935","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3206","0","514655","1101726","TEXAS GULF BANK, NATIONAL ASSOCIATION","Freeport","TX","77541","3/31/2011","11/15/2020","N","200 W. 2nd St.","TEXAS GULF BANCSHARES INC","8","0","0","4","1","Brazoria","26420","Houston-The Woodlands-Sugar Land, TX","7/13/1913","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","www.texasgulfbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11903","13317","702359","1105283","TEXAS HERITAGE BANK","Boerne","TX","78006","3/31/2011","11/15/2020","NM","1208 S. Main St.","SOUTHWESTERN BCORP INC","3","0","0","4","1","Kendall","41700","San Antonio-New Braunfels, TX","10/23/1931","1/1/1934","1/1/2010","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.texasheritagebank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3161","13546","824653","3220836","TEXAS HERITAGE NATIONAL BANK","Daingerfield","TX","75638","3/31/2011","11/15/2020","N","107 Webb St.","DAINGERFIELD HOLDING CO","5","0","0","2","1","Morris","","","1/1/1892","1/1/1934","4/1/2008","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://www.texashnb.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58312","0","3448180","","TEXAS LEADERSHIP BANK","Royse City","TX","75189","3/31/2011","11/15/2020","NM","121 W. I-Hwy. 30","","2","0","0","4","0","Rockwall","19100","Dallas-Fort Worth-Arlington, TX","10/10/2006","10/10/2006","2/24/2011","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
