cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,rslnltot,rslnrefm,rslnls,RSCONS,RSMULT,RSNRES,RSCI,RSOTHER,P3RSLNLT,P3RSLNFM,P3RSLNLS,P3RSCONS,P3RSMULT,P3RSNRES,P3RSCI,P3RSOTH,P9RSLNLT,P9RSLNFM,P9RSLNLS,P9RSCONS,P9RSMULT,P9RSNRES,P9RSCI,P9RSOTH,NARSLNLT,NARSLNFM,NARSLNLS,NARSCONS,NARSMULT,NARSNRES,NARSCI,NARSOTH
"8214","0","1006157","","FARMERS STATE BANK OF HAMEL","Hamel","MN","55340","12/31/2019","8/22/2022","NM","145 Hamel Rd.","","2","0","0","4","1","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","1/1/1919","1/1/1934","6/2/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.fsboh.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10561","0","1007752","4523440","FARMERS STATE BANK OF HARTLAND","Hartland","MN","56042","12/31/2019","8/22/2022","NM","601 N. Broadway","MINNESOTA CMTY BANCSHARES INC","3","0","0","2","1","Freeborn","","","2/19/1912","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.arcadian.bank","1436","0","1436","0","0","674","0","762","148","0","148","0","0","0","148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9354","15763","981453","1125003","FARMERS STATE BANK OF HOFFMAN","Hoffman","MN","56339","12/31/2019","8/22/2022","NM","103 Main Ave W","HOFFMAN BANCSHARES INC","1","0","0","2","1","Grant","","","3/21/1911","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.fsbhoffman.net","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9259","11794","837541","1491520","FARMERS STATE BANK OF HOFFMAN","Hoffman","IL","62250","12/31/2019","8/22/2022","NM","100 W. 4th St.","FARMERS STATE BCORP INC","3","0","0","2","0","Clinton","41180","St. Louis, MO-IL","1/1/1911","1/1/1934","9/1/2019","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","www.fsbhoffman.com","215","88","127","0","0","102","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13902","0","295646","","FARMERS STATE BANK OF MEDORA","Medora","IL","62063","12/31/2019","8/22/2022","NM","Main &washington St.","","1","0","0","2","0","Macoupin","41180","St. Louis, MO-IL","9/9/1912","2/17/1934","3/31/2016","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","St. louis","Central","Central","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15011","12691","554941","","FARMERS STATE BANK OF MUNITH","Munith","MI","49259","12/31/2019","8/22/2022","NM","201 N. Main St.","","3","0","0","8","0","Jackson","27100","Jackson, MI","9/2/1922","2/4/1935","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","","270","179","91","0","0","0","12","79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","428","26","402","0","0","402","0","0"
"14404","0","702966","4753528","FARMERS STATE BANK OF NEWCASTLE","Newcastle","TX","76372","12/31/2019","8/22/2022","SM","722 Broadway Ave.","NEWCASTLE BANCSHARES INC","1","0","0","2","0","Young","","","1/1/1909","5/23/1934","6/18/2015","Stock","0","0","FED","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","https://www.fmsbnewcastle.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1929","15884","803658","1126185","FARMERS STATE BANK OF TRIMONT","Trimont","MN","56176","12/31/2019","8/22/2022","NM","220 Main St. W.","FSB HOLDING CO INC","2","0","0","2","0","Martin","","","1/1/1912","1/1/1934","7/22/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","www.trimontbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10174","0","865852","1128385","FARMERS STATE BANK OF UNDERWOOD","Underwood","MN","56586","12/31/2019","8/22/2022","NM","110 Main St","UNDERWOOD BANCSHARES INC","3","0","0","2","1","Otter Tail","","","12/1/1915","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","WWW.farmersstbank.com","0","0","0","0","0","0","0","0","13","0","13","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8864","0","899156","1124592","FARMERS STATE BANK OF WATKINS","Watkins","MN","55389","12/31/2019","8/22/2022","NM","170 Meeker Ave N","NEISEN BANCSHARES INC","1","0","0","8","1","Meeker","","","10/12/1914","1/1/1934","1/1/2019","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
