cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,drlnls,drre,drrenus,iddrredm,drrecons,DRRECNFM,DRRECNOT,drreag,drreres,drremult,drrenres,DRRENROW,DRRENROT,drrefor,drdep,drdepnus,drag,drci,drcon,drcrcd,DRAUTO,DRCONOTH,drforgv,drother,drls,dragsm,crlnls,crre,crrenus,idcrredm,crrecons,CRRECNFM,CRRECNOT,crreag,crreres,crremult,crrenres,CRRENROW,CRRENROT,crrefor,crdep,crdepnus,crag,crci,crcon,crcrcd,CRAUTO,CRCONOTH,crforgv,crother,crls,cragsm,ntlnls,ntre,ntrenus,idntredm,ntrecons,NTRECNFM,NTRECNOT,ntreag,ntreres,ntremult,ntrenres,NTRENROW,NTRENROT,ntrefor,ntdep,ntdepnus,ntag,ntci,ntcinus,ntcon,ntcrcd,NTAUTO,NTCONOTH,ntforgv,ntother,ntls,ntagsm
"16695","13105","410560","1138160","FIRST STATE BANK","Stratford","TX","79084","12/31/2019","8/22/2022","NM","302 N. Main St.","STRATFORD BANCSHARES INC","3","0","0","2","1","Sherman","","","4/26/1948","4/26/1948","6/20/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","www.firstclassbanking.com","5","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","5","0","0","5","","0","0","0","3","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","3","0","1","2","","0","0","0","2","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","","2","0","-1","3","","0","0","0"
"5821","0","677448","1207114","FIRST STATE BANK","Lynnville","IA","50153","12/31/2019","8/22/2022","NM","413 East St.","FIRST STATE BANK HOLDING CO","5","0","0","2","1","Jasper","19780","Des Moines-West Des Moines, IA","1/1/1912","1/1/1934","7/12/2014","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","www.fsbankia.com","609","4","","4","0","0","0","0","0","0","4","4","0","","","","","590","15","0","14","1","","0","0","0","37","35","","35","0","0","0","0","7","0","28","28","0","","","","","2","0","0","0","0","","0","0","0","572","-31","","-31","0","0","0","0","-7","0","-24","-24","0","","","","","588","","15","0","14","1","","0","0","0"
"12149","9559","565143","1119404","FIRST STATE BANK","Irvington","KY","40146","12/31/2019","8/22/2022","NM","240 N. 1st St.","FIRST BRECKINRIDGE BANCSHARES","3","0","0","4","0","Breckinridge","","","1/1/1903","1/1/1934","8/17/2007","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Louisville","St. louis","Central","Southeast","0","1","www.firststatebankky.com","31","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","31","20","0","11","","0","0","0","3","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","3","1","1","1","","0","0","0","28","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","","28","19","-1","10","","0","0","0"
"15663","0","924236","1083587","FIRST STATE BANK","Waynesboro","MS","39367","12/31/2019","8/22/2022","NM","708 Azalea Dr.","FIRST STATE CORP","14","0","0","4","0","Wayne","","","5/1/1934","5/1/1939","1/4/2019","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","0","1","http://www.firststatebnk.com","724","326","","326","326","326","0","0","0","0","0","0","0","","","","","301","97","21","0","76","","0","0","0","32","11","","11","11","11","0","0","0","0","0","0","0","","","","","12","9","1","0","8","","0","0","0","692","315","","315","315","315","0","0","0","0","0","0","0","","","","","289","","88","20","0","68","","0","0","0"
"16332","15612","899642","2310217","FIRST STATE BANK","Monticello","IL","61856","12/31/2019","8/22/2022","NM","201 W. Main St.","FIRST ST BCORP MONTICELLO EMPLOYEE STK OWNERSHIP PLAN","6","0","0","2","1","Piatt","16580","Champaign-Urbana, IL","11/10/1945","11/10/1945","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","www.fsbcorp.com","10","2","","2","0","0","0","0","2","0","0","0","0","","","","","0","8","0","4","4","","0","0","0","15","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","15","0","11","4","","0","0","0","-5","2","","2","0","0","0","0","2","0","0","0","0","","","","","0","","-7","0","-7","0","","0","0","0"
"12283","0","41553","","FIRST STATE BANK","Anadarko","OK","73005","12/31/2019","8/22/2022","SM","102 W. Main St.","","2","0","0","2","1","Caddo","","","2/5/1909","1/1/1934","6/22/2015","Stock","0","0","FED","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.fsbanadarko.com","1970","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","29","0","0","29","","1941","0","0","33","0","","0","0","0","0","0","0","0","0","0","0","","","","","16","17","0","0","17","","0","0","0","1937","0","","0","0","0","0","0","0","0","0","0","0","","","","","-16","","12","0","0","12","","1941","0","0"
"9879","0","99853","1050178","FIRST STATE BANK","Noble","OK","73068","12/31/2019","8/22/2022","NM","102 N. 3rd St.","NOBLE BANCSHARES INC","1","0","0","7","0","Cleveland","36420","Oklahoma City, OK","7/4/1902","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","https://www.fsbnoble.com","27","0","","0","0","0","0","0","0","0","0","0","0","","","","","2","25","0","21","4","","0","0","0","17","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","17","0","10","7","","0","0","0","10","0","","0","0","0","0","0","0","0","0","0","0","","","","","2","","8","0","11","-3","","0","0","0"
"57910","0","3285246","3285219","FIRST STATE BANK","Nashua","IA","50658","12/31/2019","8/22/2022","NM","401 Main St.","FNSB BCORP CORP","1","0","0","2","0","Chickasaw","","","2/21/2005","2/21/2005","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://WWW.FSB-NASHUA.COM","13","0","","0","0","0","0","0","0","0","0","0","0","","","","","13","0","0","0","0","","0","0","0","15","0","","0","0","0","0","0","0","0","0","0","0","","","","","15","0","0","0","0","","0","0","0","-2","0","","0","0","0","0","0","0","0","0","0","0","","","","","-2","","0","0","0","0","","0","0","0"
"10704","0","498456","3179662","FIRST STATE BANK","Abilene","TX","79602","12/31/2019","8/22/2022","SM","2118 S. Treadaway Blvd.","BSA BANKSHARES INC","3","0","0","2","0","Taylor","10180","Abilene, TX","6/3/1903","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.fsbabilene.com","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","","0","0","0","0","","0","0","0"
"8604","53544","284958","2684589","FIRST STATE BANK","Hordville","NE","68846","12/31/2019","8/22/2022","NM","201 Main St","FIRSTAND CO","1","0","0","2","0","Hamilton","","","1/1/1906","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","FSBHORDVILLE.COM","2","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","2","0","0","1","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","","1","0","0","1","0","","0","0","0","0","0","0","0","0","0","0","","","","","0","","0","0","0","0","","1","0","0"
