cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,uc,ucloc,uccrcd,uccomre,uccomres,uccomreu,ucsc,ucother,ucover1,sclent,othoffbs,partconv,partacqu
"4514","13211","490348","1200179","THE STATE BANK OF TOLEDO","Toledo","IA","52342","6/30/2018","8/22/2022","NM","100 E. High","TAMA COUNTY ABSTRACT CO","2","0","0","2","1","Tama","","","1/1/1927","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","www.banktoledo.com","10156","0","1582","1264","1264","0","","7310","1313","0","0","",""
"1114","14214","566953","2270834","THE STATE BANK OF TOWNSEND","Townsend","MT","59644","6/30/2018","8/22/2022","NM","400 Broadway","BIG MUDDY BCORP INC","4","0","0","2","0","Broadwater","","","6/1/1899","1/1/1934","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","","13394","0","0","3905","3905","0","","9489","1787","0","0","",""
"4232","0","952257","2438205","THE STATE BANK OF WYNNEWOOD","Wynnewood","OK","73098","6/30/2018","8/22/2022","NM","109 S. Dean A. Mcgee St.","GARVIN COUNTY BANCSHARES INC","1","0","0","2","1","Garvin","","","8/1/1910","1/1/1934","10/2/2007","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.sbwok.com","5146","0","0","0","0","0","","5146","362","0","0","",""
"13551","0","354851","1062500","THE STATE EXCHANGE BANK","Lamont","OK","74643","6/30/2018","8/22/2022","NM","1280 Main St.","STATE EXCHANGE BANCSHARES INC","1","0","0","2","1","Grant","","","10/1/1901","1/1/1934","3/15/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.stateexchangebank.com","7993","0","0","738","738","0","","7255","0","0","5035","",""
"17375","0","571957","","THE STATE EXCHANGE BANK","Mankato","KS","66956","6/30/2018","8/22/2022","NM","107 S. Commercial St.","","1","0","0","2","1","Jewell","","","11/1/1887","12/16/1954","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","www.stateexchange.net","1934","0","0","0","0","0","","1934","0","0","0","",""
"5580","0","494168","","THE STATE NATIONAL BANK IN WEST","West","TX","76691","6/30/2018","8/22/2022","N","100 N. Main St.","","1","0","0","2","0","Mclennan","47380","Waco, TX","1/1/1909","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","","4117","0","0","250","250","0","","3867","0","0","0","",""
"3103","0","169354","1110278","THE STATE NATIONAL BANK OF BIG SPRING","Big Spring","TX","79720","6/30/2018","8/22/2022","N","901 Main St.","SNB FINANCIAL INC","3","0","0","2","1","Howard","","","3/1/1909","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","www.statenational.bank","16408","0","0","1056","1056","0","","15352","683","0","0","",""
"3237","0","460556","1103234","THE STATE NATIONAL BANK OF GROOM","Groom","TX","79039","6/30/2018","8/22/2022","N","99 Broadway","GROOM BANCSHARES INC","2","0","0","2","1","Carson","11100","Amarillo, TX","5/1/1925","1/1/1934","8/14/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","www.snbgroom.com","6509","0","0","152","152","0","","6357","724","0","0","",""
"13249","13742","259956","1137686","THE STATE SAVINGS BANK OF MANISTIQUE","Manistique","MI","49854","6/30/2018","8/22/2022","SM","101 S. Cedar","SSB INC","4","0","0","8","0","Schoolcraft","","","7/7/1917","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","Chicago","CHICAGO","Appleton","Minneapolis","Central","Central","0","1","www.statesavingsbank.com","4361","2624","0","94","94","0","","1643","2624","0","0","",""
"5306","13399","598048","1245509","THE STEPHENSON NATIONAL BANK AND TRUST","Marinette","WI","54143","6/30/2018","8/22/2022","N","1818-1820 Hall Ave.","STEPHENSON NATIONAL BCORP INC","7","0","1","4","1","Marinette","","","10/30/1874","1/1/1934","10/25/2014","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","http://www.snbt.com","48793","11009","1576","9913","9913","0","","26295","23356","0","27750","",""
"414","0","958558","","THE STOCK EXCHANGE BANK","Woodward","OK","73801","6/30/2018","8/22/2022","NM","1117 10th St.","","3","0","0","8","0","Woodward","","","1/3/1903","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.stockexchangebank.com","18213","0","0","0","0","0","0","18213","15611","0","0","",""
"15784","0","671053","1956702","THE STOCK EXCHANGE BANK, CALDWELL, KANSAS","Caldwell","KS","67022","6/30/2018","8/22/2022","SM","103 S. Main St.","STOCK EXCHANGE FINANCIAL CORP","2","0","0","2","0","Sumner","48620","Wichita, KS","11/12/1881","12/27/1940","11/20/2014","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","www.stockxbank.com","2535","135","0","114","114","0","","2286","347","0","0","",""
"18165","15637","265452","1064410","THE STOCKGROWERS STATE BANK","Maple Hill","KS","66507","6/30/2018","8/22/2022","NM","225 Main St","MAPLE HILL BANCSHARES INC","3","0","0","2","1","Wabaunsee","45820","Topeka, KS","1/1/1906","3/8/1960","6/1/2015","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","www.stockgrowers.biz","2853","0","0","155","155","0","","2698","1860","0","0","",""
"17650","0","424156","3343070","THE STOCKGROWERS STATE BANK OF ASHLAND, KANSAS","Ashland","KS","67831","6/30/2018","8/22/2022","NM","622 Main St.","STOCKGROWERS STB EMPLOYEE STK OWNERSHIP PLAN","2","0","0","2","1","Clark","","","6/23/1885","8/23/1956","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","www.stockgrowersbank.com","22751","101","0","1463","1463","0","","21187","7505","0","0","",""
"13584","0","358756","1055100","THE TAMPA STATE BANK","Tampa","KS","67483","6/30/2018","8/22/2022","NM","326 N. Main St.","TAMPA STATE BANKSHARES INC","2","0","0","2","1","Marion","","","1/1/1901","1/9/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","http://www.tampastatebank.com","7615","0","0","44","44","0","","7571","0","0","0","",""
"15774","0","389059","2249371","THE TILDEN BANK","Tilden","NE","68781","6/30/2018","8/22/2022","SM","100 E. 2nd St.","TILDEN BANCSHARES INC","3","0","0","2","0","Madison","","","7/23/1887","1/1/1934","1/1/2012","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Sioux City","Kansas City","Western","Western","0","1","","14034","0","0","0","0","0","","14034","668","0","2800","",""
"1941","15518","984856","1097744","THE TIPTON LATHAM BANK, NATIONAL ASSOCIATION","Tipton","MO","65081","6/30/2018","8/22/2022","N","800 W. Hwy. 50","LATHAM BANCSHARES INC","2","0","0","2","1","Moniteau","27620","Jefferson City, MO","12/29/1906","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","1","www.tiptonlathambank.com","7723","0","0","3399","3399","0","","4324","71","0","0","",""
"16636","12135","65205","","THE TORRINGTON SAVINGS BANK","Torrington","CT","6790","6/30/2018","8/22/2022","SB","129 Main St.","","9","0","0","5","0","Litchfield","","","8/15/1868","10/22/1947","3/31/2006","Non-Stock","0","1","FDIC","DIF","New York","NEW YORK","Windsor","Boston","Northeastern","Northeast","0","1","www.torringtonsavings.bank","44465","34883","0","2330","2330","0","","7252","44465","0","0","",""
"16339","0","657954","1058697","THE TRI-COUNTY BANK","Stuart","NE","68780","6/30/2018","8/22/2022","NM","106 N. Main St","TRI-COUNTY CO","4","0","0","2","0","Holt","","","11/17/1945","11/17/1945","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Kansas City","Western","Western","0","1","www.tricountybank.com","18619","716","0","631","631","0","","17272","0","0","865","",""
"13832","0","894834","2730495","THE TRUST BANK","Lenox","GA","31637","6/30/2018","8/22/2022","NM","50 W. Central Ave","TRUST HOLDING CO INC","3","0","0","4","1","Cook","","","6/25/1907","2/5/1934","3/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.thetrustbank.net","1809","290","0","1494","1494","0","","25","234","0","0","",""
"7789","10448","906410","1142813","THE TURBOTVILLE NATIONAL BANK","Turbotville","PA","17772","6/30/2018","8/22/2022","N","4710 State Rt. 54","TURBOTVILLE NATIONAL BCORP INC","1","0","0","2","0","Northumberland","","","1/1/1910","1/1/1934","10/30/2006","Stock","0","0","OCC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","1","www.ttnb.com","6235","622","0","321","321","0","","5292","6235","0","0","",""
"13802","0","381026","","THE TWIN VALLEY BANK","West Alexandria","OH","45381","6/30/2018","8/22/2022","SM","2 E. Dayton St.","","3","0","0","8","0","Preble","","","1/1/1888","2/5/1934","2/1/2014","Stock","0","0","FED","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.twinvalleybank.bank","4707","2943","0","220","220","0","0","1544","883","0","0","",""
"9420","0","852254","1126372","THE UNION BANK","Beulah","ND","58523","6/30/2018","8/22/2022","NM","1700 Hwy. 49 N.","UNION HOLDING CO","4","0","0","2","0","Mercer","","","1/1/1899","1/1/1934","8/1/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.theunionbank.com","13877","80","347","924","924","0","","12526","42","0","0","",""
"8800","14663","144436","1084566","THE UNION BANK","Marksville","LA","71351","6/30/2018","8/22/2022","NM","305 N. Main St.","UNION BANCSHARES INC","10","0","0","4","0","Avoyelles","","","9/3/1910","1/1/1934","1/5/2009","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","","9583","0","0","8237","6475","1762","","1346","0","0","0","",""
"12969","9881","780218","1136009","THE UNION BANK COMPANY","Columbus Grove","OH","45830","6/30/2018","8/22/2022","NM","100 S. High St.","UNITED BANCSHARES INC","19","0","0","4","0","Putnam","","","11/21/1904","1/1/1934","9/9/2017","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","http://www.theubank.com","178025","52859","0","26137","26137","0","0","99029","151272","0","0","",""
"14597","11083","86349","1099805","THE UNION BANK OF MENA","Mena","AR","71953","6/30/2018","8/22/2022","SM","303 Hwy. 71 N.","UNION BANKSHARES INC","3","0","0","8","1","Polk","","","7/25/1934","7/26/1934","6/22/2015","Stock","0","0","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","www.unionbankofmena.com","6855","1395","0","791","791","0","","4669","1646","0","0","",""
