cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
"13832","0","894834","2730495","THE TRUST BANK","Lenox","GA","31637","12/31/2018","8/22/2022","NM","50 W. Central Ave","TRUST HOLDING CO INC","3","0","0","4","1","Cook","","","6/25/1907","2/5/1934","3/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.thetrustbank.net","5119","4697","1563","6222","1484","547","971","0","713","258","0"
"7789","10448","906410","1142813","THE TURBOTVILLE NATIONAL BANK","Turbotville","PA","17772","12/31/2018","8/22/2022","N","4710 State Rt. 54","TURBOTVILLE NATIONAL BCORP INC","1","0","0","2","0","Northumberland","","","1/1/1910","1/1/1934","11/27/2018","Stock","0","0","OCC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","1","www.ttnb.com","36257","16385","5706","8433","22911","15590","4446","251","1331","1052","1812"
"13802","0","381026","","THE TWIN VALLEY BANK","West Alexandria","OH","45381","12/31/2018","8/22/2022","SM","2 E. Dayton St.","","3","0","0","8","0","Preble","","","1/1/1888","2/5/1934","2/1/2014","Stock","0","0","FED","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.twinvalleybank.bank","9750","6750","2152","5702","5087","3559","768","508","0","260","0"
"9420","0","852254","1126372","THE UNION BANK","Beulah","ND","58523","12/31/2018","8/22/2022","NM","1700 Hwy. 49 N.","UNION HOLDING CO","4","0","0","2","0","Mercer","","","1/1/1899","1/1/1934","8/1/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.theunionbank.com","17438","5978","4558","8140","7726","2992","2069","600","936","533","0"
"8800","14663","144436","1084566","THE UNION BANK","Marksville","LA","71351","12/31/2018","8/22/2022","NM","305 N. Main St.","UNION BANCSHARES INC","10","0","0","4","0","Avoyelles","","","9/3/1910","1/1/1934","1/5/2009","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","","41099","26566","17091","20394","13076","17105","12582","1106","4765","2967","3744"
"12969","9881","780218","1136009","THE UNION BANK COMPANY","Columbus Grove","OH","45830","12/31/2018","8/22/2022","NM","100 S. High St.","UNITED BANCSHARES INC","19","0","0","4","0","Putnam","","","11/21/1904","1/1/1934","9/9/2017","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","http://www.theubank.com","103798","67003","18225","90592","49824","12160","9552","253","6404","2381","514"
"14597","11083","86349","1099805","THE UNION BANK OF MENA","Mena","AR","71953","12/31/2018","8/22/2022","SM","303 Hwy. 71 N.","UNION BANKSHARES INC","3","0","0","8","1","Polk","","","7/25/1934","7/26/1934","6/22/2015","Stock","0","0","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","www.unionbankofmena.com","31988","28131","13384","37888","8217","630","8562","2204","4830","252","1276"
"15326","15707","289225","1071614","THE UNION BANKING COMPANY","West Mansfield","OH","43358","12/31/2018","8/22/2022","NM","105 E. Ctr. St.","UNION BCORP INC","2","0","0","7","1","Logan","","","1/1/1928","12/23/1935","5/15/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.bankatubc.com","4055","2228","3934","1718","594","37","8659","1008","5551","2100","0"
"18610","13737","736550","1057515","THE UNION STATE BANK OF EVEREST","Everest","KS","66424","12/31/2018","8/22/2022","SM","545 Main St.","EVEREST BANCSHARES INC","8","0","1","2","1","Brown","","","8/5/1901","11/19/1954","12/11/2017","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","www.mybankusb.com","30101","17049","9760","21972","13572","1846","8962","4454","3023","1485","0"
"32606","8521","1229198","1918120","THE UNIVERSITY NATIONAL BANK OF LAWRENCE","Lawrence","KS","66049","12/31/2018","8/22/2022","N","1400 Kasold Dr.","LAWRENCE FINANCIAL CORP","1","0","0","4","1","Douglas","29940","Lawrence, KS","11/18/1988","11/18/1988","3/31/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","","5238","5389","3309","1703","4542","1073","4358","570","3511","0","277"
"13748","14005","313009","","THE UPSTATE NATIONAL BANK","Ogdensburg","NY","13669","12/31/2018","8/22/2022","N","729 Proctor Ave","","4","0","0","4","0","Saint Lawrence","","","9/27/1922","1/24/1934","1/1/2012","Stock","0","0","OCC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","www.upstatebank.com","5917","61760","7041","21604","35578","3452","1168","0","410","0","758"
"15038","0","1005552","1472060","THE VALLEY STATE BANK","Belle Plaine","KS","67013","12/31/2018","8/22/2022","NM","502 N. Merchant St.","MORLEY BANCSHARES CORP","4","0","0","4","0","Sumner","48620","Wichita, KS","1/1/1897","2/28/1935","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","www.valleystatebank.com","15284","9639","5308","5521","10098","3995","11643","1366","5917","3912","448"
"14345","0","420653","1057186","THE VALLEY STATE BANK","Syracuse","KS","67878","12/31/2018","8/22/2022","SM","110 W. Ave. B","VALLEY BCORP INC","2","0","0","2","1","Hamilton","","","7/27/1905","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","http://www.thevalleystatebank.com","9817","34086","7364","16161","15427","4951","11491","3584","5466","1105","1336"
"58615","0","3603961","3939286","THE VICTORY BANK","Limerick","PA","19468","12/31/2018","8/22/2022","NM","548 N. Lewis Rd.","VICTORY BCORP INC THE","2","0","0","4","0","Montgomery","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","1/16/2008","1/16/2008","3/13/2011","Stock","0","0","FDIC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","www.victorybank.com","14057","16936","1965","20876","7707","445","13754","1016","9371","3367","0"
"10439","0","487843","2746094","THE VILLAGE BANK","Saint Libory","IL","62282","12/31/2018","8/22/2022","NM","856 Sparta St.","VILLAGE BANCSHARES INC","3","0","0","8","1","Saint Clair","41180","St. Louis, MO-IL","1/1/1920","1/1/1934","5/14/2007","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","http://www.villagebank.info","13880","3000","2733","4391","7056","2700","305","0","305","0","0"
"26336","5765","173575","","THE VILLAGE BANK","Auburndale","MA","2466","12/31/2018","8/22/2022","SB","307 Auburn St.","","8","0","0","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","5/1/1910","8/12/1985","3/31/2006","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","http://www.village-bank.com","117709","118568","34212","77284","115583","9198","171448","29177","73080","67852","1339"
"6636","0","754826","1070765","THE VINTON COUNTY NATIONAL BANK","Mc Arthur","OH","45651","12/31/2018","8/22/2022","N","112 W. Main St.","COMMUNITY BANCSHARES INC","17","0","0","6","0","Vinton","","","1/1/1867","1/1/1934","11/14/2014","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.vintoncountybank.com","166596","96724","25997","80667","146380","10276","42995","8099","14268","19231","1397"
"5569","0","548267","3386321","THE WAGGONER NATIONAL BANK OF VERNON","Vernon","TX","76384","12/31/2018","8/22/2022","N","1818 Texas St.","WAGGONER NATL BANCSHARES INC","2","0","0","2","1","Wilbarger","","","7/3/1899","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.wnbvernon.com","25663","18526","10244","25803","7499","643","25040","15966","7867","1207","0"
"17982","0","490955","1067943","THE WALTON STATE BANK","Walton","KS","67151","12/31/2018","8/22/2022","NM","116 Main St","J&M BANCSHARES INC","1","0","0","2","0","Harvey","48620","Wichita, KS","5/27/1907","4/9/1959","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","waltonstatebank.com","1457","667","208","1395","521","0","0","0","0","0","0"
"1908","0","190956","","THE WANDA STATE BANK","Wanda","MN","56294","12/31/2018","8/22/2022","NM","121 W Main","","1","0","0","2","0","Redwood","","","6/1/1932","1/1/1934","5/10/2016","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","www.wandastatebank.com","25438","12096","10838","18051","8646","0","5350","3267","1406","677","0"
"17193","0","199137","1129515","THE WARRINGTON BANK","Pensacola","FL","32507","12/31/2018","8/22/2022","NM","4093 Barrancas Ave.","FIVE FLAGS BANKS INC","2","0","0","7","0","Escambia","37860","Pensacola-Ferry Pass-Brent, FL","3/18/1953","3/18/1953","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","www.warringtonbank.com","3301","2313","2278","3332","4","0","671","0","671","0","0"
"23623","9487","816603","1115349","THE WASHINGTON TRUST COMPANY, OF WESTERLY","Westerly","RI","2891","12/31/2018","8/22/2022","NM","23 Broad St.","WASHINGTON TRUST BCORP INC","24","0","1","4","0","Washington","39300","Providence-Warwick, RI-MA","1/1/1800","1/2/1982","1/1/2018","Stock","0","1","FDIC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.washtrust.com","800853","331188","247463","481035","289246","114297","123067","13586","27081","58017","24383"
"8397","14267","324229","4452401","THE WATERFORD COMMERCIAL AND SAVINGS BANK","Waterford","OH","45786","12/31/2018","8/22/2022","NM","20115 State Rt. 339","2012 WATERFORD COML&SVG BK SHAREHOLDERS VOTING TR","2","0","0","8","0","Washington","","","1/1/1908","1/1/1934","2/21/2009","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.waterfordbank.com","4667","1653","1551","2894","1728","147","301","301","0","0","0"
"18071","0","437044","","THE WATKINS SAVINGS BANK","Watkins","IA","52354","12/31/2018","8/22/2022","NM","202 1st St.","","1","0","0","2","0","Benton","16300","Cedar Rapids, IA","1/1/1892","9/1/1959","9/1/2015","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://watkinsbank.com","16540","6910","2349","7658","8516","4927","3194","319","1062","598","1215"
"58652","0","3716320","3716339","THE WESTCHESTER BANK","Yonkers","NY","10710","12/31/2018","8/22/2022","NM","1900 Central Park Ave","WESTCHESTER BK HOLDING CORP","6","0","0","4","0","Westchester","35620","New York-Newark-Jersey City, NY-NJ-PA","6/18/2008","6/18/2008","6/30/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","","52893","20997","46775","18593","7715","807","37864","11297","24395","2172","0"
"21121","0","988153","1051979","THE WESTERN STATE BANK","Garden City","KS","67846","12/31/2018","8/22/2022","NM","1500 E. Kansas Ave.","WHITCORP FINANCIAL CO","9","0","0","2","1","Finney","","","6/19/1973","6/19/1973","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","http://www.wsbks.com","32381","19141","15835","26103","9230","354","31691","15886","9100","3544","3161"
"31539","7147","87476","","THE WILMINGTON SAVINGS BANK","Wilmington","OH","45177","12/31/2018","8/22/2022","NM","184 N. South St.","","2","0","0","5","0","Clinton","","","1/1/1890","11/9/1967","6/5/2018","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.wilmingtonsavings.com","23026","18630","4011","10898","25207","1540","1919","0","1050","869","0"
"12136","53047","501655","2356251","THE WILSON STATE BANK","Wilson","KS","67490","12/31/2018","8/22/2022","NM","422 26th St.","WILSON BANCSHARES INC","4","0","0","2","1","Ellsworth","","","7/16/1886","1/1/1934","1/22/2011","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","www.wilsonstatebank.net","11565","6107","3131","5356","6442","2743","3654","305","1000","1811","538"
"1978","12067","680457","1124921","THE YELLOWSTONE BANK","Laurel","MT","59044","12/31/2018","8/22/2022","SM","12 1st Ave.","YELLOWSTONE HOLDING CO","9","0","0","4","1","Yellowstone","13740","Billings, MT","5/26/1926","3/16/1934","11/8/2017","Stock","0","1","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","yellowstonebank.com","44038","27375","14925","26755","23433","6300","7933","2669","3191","1695","378"
"5595","0","311265","2287225","THE YOAKUM NATIONAL BANK","Yoakum","TX","77995","12/31/2018","8/22/2022","N","301 W. Grand Ave.","YOAKUM NATIONAL BANCSHARES INC","1","0","0","8","1","De Witt","","","1/1/1890","1/1/1934","6/21/2010","Stock","0","0","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.ynbtx.com","15383","24150","10784","20267","6511","1971","19735","9060","8625","1286","762"
"58536","18037","936583","","THINK MUTUAL BANK","Rochester","MN","55901","12/31/2018","8/22/2022","SA","5200 Members Parkway, Nw","","11","0","0","5","0","Olmsted","40340","Rochester, MN","7/1/2007","7/1/2007","7/21/2011","Non-Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.thinkbank.com","151984","29555","46001","76817","34349","24372","12595","3333","4515","2163","2584"
