cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,LNPLEDGE,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"58723","0","3636428","3636389","BLACK HILLS COMMUNITY BANK, N.A.","Rapid City","SD","57701","12/31/2016","2/22/2022","N","840 Mount Rushmore Rd.","BHCB HOLDING CO","2","0","0","4","1","Pennington","39660","Rapid City, SD","11/27/2007","11/27/2007","7/20/2011","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","1","http://www.BHCBANK.COM","178947","2414","181361","235","181596","153244","153244","17786","88020","52435","35585","14653","26333","6452","","618","25975","","1758","0","171","442","1145","0","0","0","0","0","0","0","98227","","0","0","5790","11996","2322",""
"27897","507","444677","","BLACK MOUNTAIN SAVINGS BANK, SSB","Black Mountain","NC","28711","12/31/2016","2/22/2022","SB","200 E State St.","","1","0","0","5","0","Buncombe","11700","Asheville, NC","4/4/1923","7/10/1985","3/31/2006","Non-Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","0","1","","25614","43","25657","0","25657","25425","25425","516","655","0","655","74","24180","0","","0","0","","225","0","0","0","225","7","0","0","0","7","0","0","3990","","0","0","177","339","43",""
"15152","12080","603540","1978656","BLACK RIVER COUNTRY BANK","Black River Fall","WI","54615","12/31/2016","2/22/2022","NM","221 Main St.","BRAD INC","2","0","0","2","1","Jackson","","","1/1/1907","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Chicago","Central","Central","0","1","https://www.brcbank.com","61091","759","61850","0","61850","47549","47549","1479","7434","3463","3971","853","26702","11081","","4594","4119","","3015","71","178","1819","947","2573","0","2414","159","0","0","0","25852","","1983","1307","184","1295","667",""
"14078","11465","27548","1491913","BLACKHAWK BANK","Beloit","WI","53511","12/31/2016","2/22/2022","NM","400 Broad St.","BLACKHAWK BCORP INC","8","0","1","4","0","Rock","27500","Janesville-Beloit, WI","1/1/1881","3/19/1934","4/24/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","www.blackhawkbank.com","408384","5093","413477","273","413750","264541","264541","17697","148386","92866","55520","7129","89525","1804","","5","142695","0","5187","0","376","3106","1705","1322","0","1125","197","0","0","0","177955","0","5072","17","691","17006","5093",""
"18402","11017","890742","1823345","BLACKHAWK BANK & TRUST","Milan","IL","61264","12/31/2016","2/22/2022","NM","301 4th St. W.","BLACKHAWK BCORP INC","17","0","1","4","0","Rock Island","19340","Davenport-Moline-Rock Island, IA-IL","6/28/1961","6/28/1961","6/29/2016","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","http://www.choosethechief.com","548611","4000","552611","0","552611","381937","381937","62058","163751","65276","98475","26086","112678","17364","","18004","135328","0","12556","1898","85","4981","5592","4786","0","1766","3020","0","0","135","109575","0","1320","1116","11619","50439","4021",""
"58580","0","3580334","3398070","BLACKRIDGEBANK","Fargo","ND","58104","12/31/2016","2/22/2022","NM","4040 42nd St. S.","BLACKRIDGE FINANCIAL INC","11","0","1","4","0","Cass","22020","Fargo, ND-MN","4/23/2007","4/23/2007","3/8/2016","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","","344616","4578","349194","0","349194","283093","283093","40056","92155","29440","62715","15263","127526","8093","","1633","50496","0","10718","0","2000","2090","6628","3254","0","3104","150","0","0","0","234651","0","4446","4446","16925","23131","4155",""
"11608","14713","578741","2511313","BLC COMMUNITY BANK","Little Chute","WI","54140","12/31/2016","2/22/2022","NM","206 E. Main Ave.","INDEPENDENT BCORP LTD","1","0","0","4","1","Outagamie","11540","Appleton, WI","12/6/1906","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","www.blccb.com","153031","2698","155729","0","155729","137905","137905","11421","85864","57516","28348","3787","35446","1387","","252","16376","","1196","0","0","429","767","0","0","0","0","0","0","0","20751","","0","0","5115","6306","1941",""
"976","10332","937843","1245648","BLISSFIELD STATE BANK","Blissfield","MI","49228","12/31/2016","2/22/2022","SM","204 E. Jefferson","BLISSFIELD BANK CORP","2","0","0","2","1","Lenawee","","","5/24/1873","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.blissfieldstate.com","46836","631","47467","42","47509","34575","34575","276","4858","3954","904","0","19577","9864","","4328","5412","","2536","85","4","1250","1197","658","0","658","0","0","0","0","0","","1034","677","276","0","631",""
"15714","9143","64543","1097511","BLOOMBANK","Bloomfield","IN","47424","12/31/2016","2/22/2022","NM","48 N. Washington St.","UNIVERSAL BCORP","14","0","0","4","0","Greene","","","1/1/1873","1/4/1940","7/1/2015","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","St. louis","Central","Central","0","1","","259293","3701","262994","0","262994","231469","231469","26207","100772","49320","51452","16656","83705","4129","","439","21664","0","4249","0","43","1464","2742","5172","0","1705","59","3408","0","0","60186","0","189","0","6037","20170","3542",""
"9788","0","820842","1416505","BLOOMSDALE BANK","Bloomsdale","MO","63627","12/31/2016","2/22/2022","NM","55 Mill Hill Rd.","PEOPLES COMMUNITY BCORP INC","5","0","0","4","1","Sainte Genevieve","","","5/1/1914","1/1/1934","1/1/2014","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","https://www.bloomsdalebank.com","139636","1866","141502","0","141502","118700","118700","16311","48237","12888","35349","0","53674","478","","79","10681","","4013","0","0","3591","422","8029","0","8029","0","0","0","0","20804","","0","0","8152","8159","1866",""
