cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,scrdebt,scpt3les,scpt3t12,scpt1t3,scpt3t5,scpt5t15,scptov15,sco3yles,scoov3y,scnm3les,scnm3t12,scnm1t3,scnm3t5,scnm5t15,scnmov15,sc1les
"16601","12437","645157","1870022","BANK NORTHWEST","Hamilton","MO","64644","6/30/2014","8/25/2021","NM","201 S. Davis St.","CALDWELL COUNTY BANCSHARES INC","5","0","0","2","1","Caldwell","28140","Kansas City, MO-KS","8/4/1945","8/4/1947","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","http://www.banknw.com","12966","0","0","0","0","0","0","0","0","115","524","2720","1628","7979","0","639"
"11782","0","213538","","BANK OF ABBEVILLE & TRUST COMPANY","Abbeville","LA","70510","6/30/2014","8/25/2021","NM","123 Concord St.","","3","0","0","7","0","Vermilion","29180","Lafayette, LA","3/14/1894","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.bankofabbeville.com","104029","0","40","0","0","0","185","0","0","337","1998","7215","12944","81060","250","2335"
"19434","0","5461","3033746","BANK OF AGRICULTURE AND COMMERCE","Stockton","CA","95207","6/30/2014","8/25/2021","NM","2021 W. March Ln.","BAC FINANCIAL INC","11","0","0","4","1","San Joaquin","44700","Stockton-Lodi, CA","5/21/1965","5/21/1965","3/31/2006","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Sacramento","San Francisco","Western","Western","0","1","www.bankbac.com","138640","0","0","0","0","14464","5527","0","0","4143","10828","11606","30797","41468","19807","14971"
"13290","0","452104","","BANK OF AKRON","Akron","NY","14001","6/30/2014","8/25/2021","NM","46 Main St.","","5","0","0","4","0","Erie","15380","Buffalo-Cheektowaga-Niagara Falls, NY","1/1/1900","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","","47004","0","1","1","106","616","2599","0","5307","1144","3461","7440","11547","14397","385","4606"
"155","14550","986935","3194076","BANK OF ALAPAHA","Alapaha","GA","31622","6/30/2014","8/25/2021","NM","245 Ne Railroad St.","ALAPAHA HOLDING CO","4","0","0","2","0","Berrien","","","3/25/1905","1/1/1934","3/24/2009","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.bankofalapaha.com","24370","5","26","0","0","3344","0","0","0","0","346","952","2000","16689","1008","346"
"26689","0","564052","2029368","BANK OF ALMA","Alma","WI","54610","6/30/2014","8/25/2021","NM","211 Main St.","DAIRYLAND BANK HOLDING CORP","4","0","1","4","0","Buffalo","","","6/20/1986","6/20/1986","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","www.bankofalma.net","90185","0","0","0","0","0","0","0","0","2127","9837","18120","20043","35813","4245","11964"
"57029","0","2936840","2936859","BANK OF ALPENA","Alpena","MI","49707","6/30/2014","8/25/2021","NM","468 Ripley Blvd.","ALPENA BANKING CORP","1","0","0","4","0","Alpena","","","3/26/2001","3/26/2001","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","","22853","30","0","19","180","3450","0","0","470","0","1590","3979","6479","6656","0","1590"
"25178","12449","1443266","1073757","BANK OF AMERICA CALIFORNIA, NATIONAL ASSOCIATION","San Francisco","CA","94104","6/30/2014","8/25/2021","N","555 California St.","BANK OF AMERICA CORP","1","0","0","5","0","San Francisco","41860","San Francisco-Oakland-Hayward, CA","5/18/1984","5/18/1984","9/16/2009","Stock","0","0","OCC","DIF","San Francisco","WASHINGTON","San Francisco","San Francisco","Western","Western","0","0","www.bankofamerica.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3510","0","480228","1073757","BANK OF AMERICA, NATIONAL ASSOCIATION","Charlotte","NC","28202","6/30/2014","8/25/2021","N","100 N. Tryon St","BANK OF AMERICA CORP","5128","228","1","9","0","Mecklenburg","16740","Charlotte-Concord-Gastonia, NC-SC","10/17/1904","1/1/1934","4/1/2013","Stock","0","1","OCC","DIF","Atlanta","WASHINGTON","Charlotte","Richmond","Northeastern","Southeast","0","0","www.bankofamerica.com","300162000","0","0","13000","265000","402000","219486000","3439000","14272000","19774000","1356000","307000","31890000","8284000","674000","5717000"
"12773","10791","984379","2748995","BANK OF AMERICAN FORK","American Fork","UT","84003","6/30/2014","8/25/2021","NM","33 E. Main St.","PEOPLES UTAH BCORP","14","0","0","4","0","Utah","39340","Provo-Orem, UT","1/1/1913","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","0","0","www.altabank.com","286254","954","1012","0","0","68871","4763","33563","51324","11851","13041","46329","41204","13342","0","14992"
"8243","9803","31835","3664216","BANK OF ANGUILLA","Anguilla","MS","38721","6/30/2014","8/25/2021","NM","130 Holland St.","PYRAMID FINANCIAL CORP","5","0","0","2","0","Sharkey","","","1/1/1904","1/1/1934","6/3/2010","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","0","1","http://www.bankofanguilla.com","32323","0","36","0","0","0","0","532","0","181","2180","3315","10791","15288","0","2360"
"34120","14546","2390929","2454380","BANK OF ANN ARBOR","Ann Arbor","MI","48107","6/30/2014","8/25/2021","NM","125 S. 5th Ave.","ARBOR BCORP INC","7","0","0","4","0","Washtenaw","11460","Ann Arbor, MI","1/16/1996","1/16/1996","5/14/2010","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.bankofannarbor.com","153910","70","0","0","0","15988","5790","2903","4768","24816","1461","5427","11928","75214","5545","5478"
"8252","0","568443","","BANK OF ASH GROVE","Ash Grove","MO","65604","6/30/2014","8/25/2021","NM","218 N Webster Ave","","2","0","0","7","0","Greene","44180","Springfield, MO","4/13/1883","1/1/1934","12/3/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","0","1","http://www.oldmissouribank.com","27824","0","0","0","0","0","0","0","0","1017","1972","5340","5656","13839","0","2989"
"32362","18004","518073","3390177","BANK OF ATLANTA","Atlanta","GA","30309","6/30/2014","8/25/2021","SA","1349 W. Peachtree St, # 100","ATLANTA BCORP INC","2","0","0","4","0","Fulton","12060","Atlanta-Sandy Springs-Roswell, GA","7/6/1966","7/19/1985","7/21/2011","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","","45290","5392","1518","220","487","0","0","753","0","3508","0","3380","13030","17002","0","0"
"33681","0","909000","","BANK OF BARODA","New York","NY","10016","6/30/2014","8/25/2021","OI","One Park Ave.","","1","0","0","9","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1908","2/22/1979","10/11/2013","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","0","","","","","","","","","","","","","","","","",""
