cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"8762","15338","180144","1133923","THE SACRAMENTO DEPOSIT BANK","Sacramento","KY","42372","9/30/2015","11/17/2021","NM","335 Main St.","SACRAMENTO BCORP","1","0","0","2","1","Mclean","36980","Owensboro, KY","1/1/1895","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Southeast","0","1","www.sdbweb.com","58166","58166","57669","0","497","0","0","0","","16254","8586","41912","3137","3756","35017","49580","8586","49580","53397","55457","14613","0","0","0","",""
"2723","11168","472018","2896207","THE SALYERSVILLE NATIONAL BANK","Salyersville","KY","41465","9/30/2015","11/17/2021","N","43 E Maple St.","SNB BCORP INC","2","0","0","7","0","Magoffin","","","10/10/1902","1/1/1934","1/1/2012","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","www.salyersvillebank.com","84143","84143","75501","0","8642","0","0","0","","34773","20905","49370","288","8979","40103","63238","20904","63239","75972","71363","5701","0","0","0","",""
"16185","0","472531","","THE SAMSON BANKING COMPANY, INC.","Samson","AL","36477","9/30/2015","11/17/2021","NM","2 W. Main St.","","2","0","0","8","1","Geneva","20020","Dothan, AL","1/1/1930","5/26/1944","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","http://www.samsonbanking.com","62610","62610","56553","723","5334","0","0","0","","28528","16113","34082","7643","7438","19001","46497","16085","46525","61708","56009","4335","0","0","0","",""
"5520","0","521064","","THE SANTA ANNA NATIONAL BANK","Santa Anna","TX","76878","9/30/2015","11/17/2021","N","610 Wallis Ave.","","1","0","0","2","0","Coleman","","","12/1/1933","1/1/1934","6/15/2015","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://www.mysanb.com","36924","36924","31784","0","5140","0","0","0","","11717","9242","25207","10764","2335","12109","27682","9241","27682","34659","29909","654","0","0","0","",""
"13216","14452","578116","2950716","THE SAVINGS BANK","Circleville","OH","43113","9/30/2015","11/17/2021","NM","118-120 N. Court St.","SAVINGS BCORP INC","6","0","0","8","0","Pickaway","18140","Columbus, OH","4/20/1912","1/1/1934","10/1/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.thesavingsbankohio.bank","292270","292270","222271","100","69899","0","0","0","","77915","45320","214355","77469","48006","88880","246950","45320","246950","275241","225491","16823","0","0","0","",""
"90291","13771","711801","4466912","THE SAVINGS BANK","Wakefield","MA","1880","9/30/2015","11/17/2021","SB","357 Main St.","WAKEFIELD BCORP MHC","9","0","0","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","5/26/1869","8/5/1985","1/7/2014","Stock","0","1","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","www.tsbawake24.com","427700","427700","418328","1","9371","0","0","0","","30218","17631","397482","62588","205652","129242","410069","79255","348445","399439","361814","28717","0","0","0","",""
"10688","11959","189820","1069273","THE SCOTTDALE BANK & TRUST COMPANY","Scottdale","PA","15683","9/30/2015","11/17/2021","NM","150 Pittsburgh St.","LAWRENCE KEISTER&CO","5","0","0","7","0","Westmoreland","38300","Pittsburgh, PA","2/25/1901","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","1","","215212","215212","201563","0","13649","0","0","0","","60362","43049","154850","8168","140696","5986","172163","43049","172163","212872","190067","10229","0","0","0","",""
"14966","0","119153","1064504","THE SECURITY NATIONAL BANK OF ENID","Enid","OK","73701","9/30/2015","11/17/2021","N","100 S. Independence Ave.","SECURITY FINL SERVICES CORP","3","0","0","4","1","Garfield","21420","Enid, OK","1/1/1907","2/2/1935","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","WWW.SNBENID.COM","295598","295598","265210","0","29522","866","0","0","","23104","16186","272494","93249","135371","43874","279412","23104","272494","286752","218233","5279","2724","2724","0","",""
"4506","11425","418249","1200348","THE SECURITY NATIONAL BANK OF SIOUX CITY, IOWA","Sioux City","IA","51101","9/30/2015","11/17/2021","N","601 Pierce St.","SECURITY NATIONAL CORP","9","0","0","2","0","Woodbury","43580","Sioux City, IA-NE-SD","1/1/1884","1/1/1934","5/1/2015","Stock","0","1","OCC","DIF","Kansas City","KANSAS CITY","Sioux City","Chicago","Western","Western","0","1","https://www.snbonline.com","768248","768248","719580","399","18817","29452","0","0","","456818","240926","311430","129648","51844","129938","527322","241500","526748","754385","549999","27312","0","0","0","",""
"15749","0","285553","1127771","THE SECURITY STATE BANK","Emery","SD","57332","9/30/2015","11/17/2021","NM","117 N 3rd St","EMERY SECURITY BCORP INC","2","0","0","2","0","Hanson","","","1/1/1920","7/1/1940","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","1","http://www.thesecuritystatebank.com","34888","34888","29067","5","5816","0","0","0","","13523","9376","21365","2907","7687","10771","25512","9376","25512","34888","31544","3430","0","0","0","",""
