cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,ntr,ntripc,ntrusgov,ntrmuni,ntrcomot,ntrfcfg,ntrfc,ntrfg
"17800","14448","568144","2571269","ONE BANK & TRUST, NATIONAL ASSOCIATION","Little Rock","AR","72201","6/30/2011","11/15/2020","N","300 W. Capitol Ave.","ONEFINANCIAL CORP","10","0","0","4","1","Pulaski","30780","Little Rock-North Little Rock-Conway, AR","8/30/1957","8/30/1957","3/31/2006","Stock","0","1","OCC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","","168782","168157","0","529","96","0","0","0"
"58238","0","3442704","","ONE GEORGIA BANK","Atlanta","GA","30309","6/30/2011","11/15/2020","NM","1180 Peachtree St, Ne, # 261","","1","0","0","4","0","Fulton","12060","Atlanta-Sandy Springs-Roswell, GA","5/5/2006","5/5/2006","5/5/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","","147339","58018","0","493","88828","0","0","0"
"58490","18032","3608751","","ONE PACIFICCOAST BANK, FSB","Oakland","CA","94612","6/30/2011","11/15/2020","SA","1438 Webster St, # 100","","3","0","1","4","0","Alameda","41860","San Francisco-Oakland-Hayward, CA","6/27/2007","6/27/2007","3/29/2011","Stock","0","0","OTS","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.beneficialstatebank.com","140683","140683","","","","","",""
"58811","18099","3807880","","ONE SOUTH BANK","Chipley","FL","32428","6/30/2011","11/15/2020","SA","1385 Main St.","","1","0","0","4","1","Washington","","","10/29/2008","10/29/2008","11/22/2010","Stock","0","0","OTS","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","1","www.onefloridabank.com","21027","21027","","","","","",""
"57901","0","3296859","3311109","ONE WORLD BANK","Dallas","TX","75229","6/30/2011","11/15/2020","NM","2449 Walnut Hill Ln.","ONE WORLD HOLDING INC","1","0","0","4","0","Dallas","19100","Dallas-Fort Worth-Arlington, TX","4/4/2005","4/4/2005","3/18/2009","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","https://oneworldbank.com","66707","53947","952","249","11559","0","0","0"
"23966","9061","935308","","ONEUNITED BANK","Boston","MA","2110","6/30/2011","11/15/2020","NM","100 Franklin St","","10","0","1","4","0","Suffolk","14460","Boston-Cambridge-Newton, MA-NH","8/2/1982","8/2/1982","8/20/2007","Stock","0","0","FDIC","DIF","New York","SAN FRANCISCO","Los Angeles (West)","Boston","Northeastern","Northeast","0","1","https://www.oneunited.com/","251708","135910","0","20534","95264","0","0","0"
"58978","18129","3918898","","ONEWEST BANK, FSB","Pasadena","CA","91101","6/30/2011","11/15/2020","SA","888 E. Walnut St.","","79","0","0","9","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","3/19/2009","3/19/2009","1/19/2011","Stock","0","0","OTS","DIF","San Francisco","SAN FRANCISCO","Los Angeles (North)","San Francisco","Western","Western","0","0","cit.com","15308968","15308968","","","","","",""
"10380","13267","248745","2128944","OOSTBURG STATE BANK","Oostburg","WI","53070","6/30/2011","11/15/2020","NM","905 Ctr. Ave.","OOSTBURG BCORP INC","2","0","0","4","0","Sheboygan","43100","Sheboygan, WI","3/1/1908","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","0","1","www.oostburgbank.com","106561","104813","0","1663","85","0","0","0"
"57944","0","3357219","","OPEN BANK","Los Angeles","CA","90017","6/30/2011","11/15/2020","NM","1000 Wilshire Blvd, # 100","","1","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","6/10/2005","6/10/2005","1/7/2011","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (West)","San Francisco","Western","Western","0","1","http://WWW.MYOPENBANK.COM","84062","62613","0","0","21449","0","0","0"
"58567","0","3579936","3579945","OPPORTUNITY BANK, NATIONAL ASSOCIATION","Richardson","TX","75081","6/30/2011","11/15/2020","N","1301 E. Campbell Rd.","OPPORTUNITY BANCSHARES INC","1","0","0","4","0","Dallas","19100","Dallas-Fort Worth-Arlington, TX","6/27/2007","6/27/2007","12/17/2009","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","","30369","30369","0","0","0","0","0","0"
"58699","0","3689385","","OPTIMA BANK & TRUST COMPANY","Portsmouth","NH","3801","6/30/2011","11/15/2020","NM","2 Harbour Pl.","","2","0","0","4","0","Rockingham","14460","Boston-Cambridge-Newton, MA-NH","1/29/2008","1/29/2008","1/29/2008","Stock","0","0","FDIC","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","0","1","","133011","100266","0","2965","29780","0","0","0"
"35430","0","2953418","3251661","OPTIMUMBANK","Plantation","FL","33324","6/30/2011","11/15/2020","NM","10197 Cleary Blvd.","OPTIMUMBANK HOLDINGS INC","3","0","0","4","0","Broward","33100","Miami-Fort Lauderdale-West Palm Beach, FL","11/1/2000","11/1/2000","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","http://www.optimumbank.com","136137","135642","0","0","495","0","0","0"
"57408","0","3202702","","OPTUMHEALTH BANK, INC.","Salt Lake City","UT","84120","6/30/2011","11/15/2020","NM","2525 Lake Park Blvd, # 110","","1","0","0","9","0","Salt Lake","41620","Salt Lake City, UT","7/21/2003","7/21/2003","8/7/2008","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","0","0","http://www.optumbank.com","1253040","1253040","0","0","0","0","0","0"
"33806","0","2047504","","OPUS BANK","Redondo Beach","CA","90277","6/30/2011","11/15/2020","NM","1333 S. Pacific Coast Hwy.","","27","0","1","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","5/20/1993","5/20/1993","6/30/2011","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","","1277624","1179779","0","32375","65470","0","0","0"
"57960","0","3357871","3383610","ORANGE BANK OF FLORIDA","Orlando","FL","32801","6/30/2011","11/15/2020","NM","519 N. Magnolia","FLORIDIAN FINANCIAL GROUP INC","7","0","0","4","0","Orange","36740","Orlando-Kissimmee-Sanford, FL","6/20/2005","6/20/2005","3/31/2008","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","1","","217636","216583","0","1053","0","0","0","0"
"35535","0","2961776","3446962","ORANGE COMMUNITY BANK","Orange","CA","92867","6/30/2011","11/15/2020","NM","1045 W. Katella Ave.","ORANGE COMMUNITY BCORP","3","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","11/20/2000","11/20/2000","3/31/2006","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","","180996","179787","0","1209","0","0","0","0"
"57338","0","3157183","","ORANGE COUNTY BUSINESS BANK","Newport Beach","CA","92660","6/30/2011","11/15/2020","NM","4675 Macarthur Court, # 100","","1","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","12/26/2002","12/26/2002","6/23/2010","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","","114305","95298","0","4289","14718","0","0","0"
"12944","14523","176101","3596009","ORANGE COUNTY TRUST COMPANY","Middletown","NY","10940","6/30/2011","11/15/2020","SM","75 North St.","ORANGE COUNTY BCORP INC","9","0","0","4","0","Orange","39100","                                        39100","5/2/1892","1/1/1934","3/31/2006","Stock","0","1","FED","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","http://www.orangebanktrust.com","392686","284189","0","108497","0","0","0","0"
