cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,IDdepsam,IDdepsmb,DEPSMRA,DEPSMRN,NTRCDSMJ,IDdeplam,IDdeplgb,DEPLGRA,DEPLGRN,TRNNIA,TRNNIN,NTRTMLGJ
"6548","11523","504713","1119794","U.S. BANK NATIONAL ASSOCIATION","Cincinnati","OH","45202","9/30/2016","2/22/2022","N","425 Walnut St.","U S BCORP","3201","1","1","9","0","Hamilton","17140","Cincinnati, OH-KY-IN","7/13/1863","1/1/1934","6/20/2014","Stock","0","1","OCC","DIF","Chicago","WASHINGTON","Cincinnati","Cleveland","Central","Central","0","0","www.usbank.com","139625798","16178559","3270800","196216","12888262","172954122","81810","153689","381","","","2797848"
"1693","0","423636","","UBANK","Jellico","TN","37762","9/30/2016","2/22/2022","NM","1075 5th St.","","1","0","0","4","1","Campbell","28940","Knoxville, TN","1/1/1918","1/1/1934","7/28/2015","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","www.ubank.bank","37540","3367","4563","140","22102","13165","25","1033","3","","","4583"
"57565","0","3212149","4795461","UBS BANK USA","Salt Lake City","UT","84111","9/30/2016","2/22/2022","NM","299 S. Main St, # 2275","UBS GROUP AG","1","0","0","6","0","Salt Lake","41620","Salt Lake City, UT","9/15/2003","9/15/2003","8/10/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","0","0","http://www.ubs.com/cefs/en/ubs-bank-usa/ubs-bank-usa.html","31924268","1238811","12749037","873459","196922","5472167","12134","1271","4","","","0"
"1167","0","85052","3272554","UINTA BANK","Mountain View","WY","82939","9/30/2016","2/22/2022","SM","695 Pkwy. Dr.","UCSB FINANCIAL CORP","2","0","0","4","0","Uinta","","","9/16/1919","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","Kansas City","Western","West","0","1","www.uintabank.com","68880","2590","931","40","34299","62783","76","0","0","","","11251"
"15970","7954","301800","","ULSTER SAVINGS BANK","Kingston","NY","12401","9/30/2016","2/22/2022","SB","180 Schwenk Dr.","","14","0","0","5","0","Ulster","28740","Kingston, NY","4/13/1851","7/1/1943","6/27/2016","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","www.ulstersavings.com","560688","50748","24726","1644","158844","205181","204","1179","3","","","34285"
"8867","0","225157","1127276","ULTIMA BANK MINNESOTA","Winger","MN","56592","9/30/2016","2/22/2022","NM","9 W Minnesota Ave","FINANCIAL SERVICES WINGER INC","4","0","0","2","1","Polk","24220","Grand Forks, ND-MN","1/1/1904","1/1/1934","1/14/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.ultimabank.com","95677","6084","4552","317","48090","46206","76","671","2","","","15400"
"8273","0","936855","1049828","UMB BANK, NATIONAL ASSOCIATION","Kansas City","MO","64106","9/30/2016","2/22/2022","N","1010 Grand Blvd.","UMB FINANCIAL CORP","120","0","1","4","0","Jackson","28140","Kansas City, MO-KS","8/28/1902","1/1/1934","5/31/2015","Stock","0","1","OCC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","0","www.umb.com","6557706","1165631","152786","8670","663042","9146606","4541","9545","25","","","418212"
"17266","9866","143662","2747644","UMPQUA BANK","Roseburg","OR","97470","9/30/2016","2/22/2022","NM","445 S.E. Main St.","UMPQUA HOLDINGS CORP","316","0","1","4","0","Douglas","","","11/9/1953","11/9/1953","9/22/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Portland","San Francisco","Western","West","0","0","www.umpquabank.com","10264866","696971","360708","15238","1811869","8377549","9602","30236","96","","","748162"
"7631","11140","249416","1249945","UNB BANK","Mount Carmel","PA","17851","9/30/2016","2/22/2022","NM","Third &oak St.","UNB CORP","2","0","0","5","0","Northumberland","","","1/1/1906","1/1/1934","6/19/2015","Stock","0","1","FDIC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","1","http://www.unb.bank","89542","8673","13404","332","57374","14046","33","297","1","","","560"
"58407","0","3487947","4125086","UNIBANK","Lynnwood","WA","98036","9/30/2016","2/22/2022","NM","19315 Hwy. 99","U&I FINANCIAL CORP","4","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","11/1/2006","11/1/2006","4/10/2014","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","http://www.unibankusa.com","121056","5590","929","77","49708","94558","184","0","0","","","17007"
