cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,ntrcdsm,cd3less,cd3t12s,cd1t3s,cdov3s,ntrtmlg,cd3les,cd3t12,cd1t3,cdov3
"15206","0","264455","3072660","FIRST STATE BANK","Athens","TX","75751","9/30/2010","8/17/2020","NM","130 E. Corsicana St.","JANE AUSTIN CHAPMAN PARTNERSHIP L P","6","0","0","4","0","Henderson","","","5/1/1935","6/28/1935","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.fsbathens.com","49534","16173","27008","5804","549","39554","17444","15920","5489","701"
"13632","10298","114840","1096448","FIRST STATE BANK","Russellville","AR","72802","9/30/2010","8/17/2020","NM","3103 E. Main St.","FIRST STATE BANKING CORP","5","0","0","4","0","Pope","","","1/12/1934","1/12/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Southeast","0","1","http://www.fsbmybank.com","31599","5571","23053","2796","179","33820","3905","26674","3040","201"
"10704","0","498456","3179662","FIRST STATE BANK","Abilene","TX","79602","9/30/2010","8/17/2020","SM","2118 S. Treadaway Blvd.","BSA BANKSHARES INC","2","0","0","4","0","Taylor","10180","Abilene, TX","6/3/1903","1/1/1934","2/4/2008","Stock","0","0","FED","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.fsbabilene.com","3891","1855","1805","231","0","6532","2918","3614","0","0"
"3983","0","273251","1131880","FIRST STATE BANK","Armour","SD","57313","9/30/2010","8/17/2020","NM","703 Main St.","LEWIS BANSHARES INC","4","0","0","2","1","Douglas","","","1/1/1906","1/1/1934","6/1/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","1","","31667","11001","14340","5076","1250","8537","4539","3609","239","150"
"24498","0","216164","1133044","FIRST STATE BANK","Graham","TX","76450","9/30/2010","8/17/2020","NM","1526 4th St.","WOODSON BANCSHARES INC","4","0","0","8","1","Young","","","5/26/1983","5/26/1983","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.fsbgraham.bank","15452","5252","8273","1763","164","33834","13406","16706","3722","0"
"16177","9704","190947","","FIRST STATE BANK","Stuart","IA","50250","9/30/2010","8/17/2020","NM","215 N. Division St.","","2","0","0","2","1","Guthrie","19780","Des Moines-West Des Moines, IA","1/1/1934","7/31/1944","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","www.stuartbank.com","28122","4274","15782","6306","1760","11988","3016","6158","1866","948"
"11922","0","190563","2520575","FIRST STATE BANK","Three Rivers","TX","78071","9/30/2010","8/17/2020","NM","422 Dibrell Ave.","FIRST LIVE OAK BANCSHARES INC","1","0","0","8","1","Live Oak","","","8/12/1914","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","www.fsboftx.com","13231","2926","8789","1516","0","23128","8443","13901","784","0"
"8600","0","530954","1054318","FIRST STATE BANK","Shelton","NE","68876","9/30/2010","8/17/2020","NM","Highway 30 &c St.","SHELTON ENTERPRISES INC","1","0","0","2","1","Buffalo","","","1/1/1928","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","Western","0","1","","8869","2934","5120","677","138","4342","1625","2417","300","0"
"1218","0","407168","1417137","FIRST STATE BANK","Spearman","TX","79081","9/30/2010","8/17/2020","NM","1 Ne Court St.","FIRST STATE BANKSHARES INC","1","0","0","2","1","Hansford","","","1/1/1917","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","www.fsbtx.com","12028","4049","6777","1202","0","29370","10455","16541","2374","0"
"1479","9404","126254","1140659","FIRST STATE BANK","Union City","TN","38261","9/30/2010","8/17/2020","NM","115 W. Washington Ave.","COMMUNITY FIRST BANCSHARES INC","30","0","0","4","0","Obion","","","1/10/1887","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","0","0","","316819","58164","128735","106753","23167","309525","68996","131383","84832","24314"
